Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
A8S6A8,29156,Snake three-finger toxin family,90,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
A1IVR8,92438,Snake three-finger toxin family,75,fragment,LD(50) is 0.28 mg/g by intraperitoneal injection into mice. {ECO:0000269|Ref.2}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
A6MFK4,412038,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial,terrestrial
P01393,8619,Snake three-finger toxin family,72,,LD(50) is 0.38 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4204636}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Dendroaspis jamesoni kaimosae,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis jamesoni,terrestrial,terrestrial
P01396,8620,Snake three-finger toxin family,72,,LD(50) is 0.12 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5033401}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
P01394,8621,Snake three-finger toxin family,72,,LD(50) is 0.9 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4855008}.,DISULFID:5,Neurotoxin 4.7.3 differs from 4.9.3 only in that Trp-26 has undergone partial photooxidation.,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial,terrestrial
Q8UW29,8781,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
P01380,355677,Snake three-finger toxin family,70,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis stokesii,marine,marine
P0C8R6,8628,Snake three-finger toxin family,69,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine,marine
P01379,8631,Snake three-finger toxin family,87,,LD(50) is 1.24 mg/kg by intramuscular injection. {ECO:0000269|PubMed:4616684}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Laticauda semifasciata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda semifasciata,marine,marine
P01389,263737,Snake three-finger toxin family,72,,LD(50) is 0.067 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1183429}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja anchietae,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja anchietae,terrestrial,terrestrial
P25674,8642,Snake three-finger toxin family,71,,LD(50) is 0.11 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja haje haje,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja haje,terrestrial,terrestrial
P01391,8649,Snake three-finger toxin family,71,,LD(50) is 0.1 mg/kg by intravenous injection into mice.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
P01383,8643,Snake three-finger toxin family,71,,LD(50) is 1.5 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4830190}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial,terrestrial
P25668,35670,Snake three-finger toxin family,71,,LD(50) is 0.15 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5125232}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P01390,8655,Snake three-finger toxin family,71,,LD(50) is 0.076 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5167022}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja nivea,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja nivea,terrestrial,terrestrial
P01382,8657,Snake three-finger toxin family,73,,LD(50) is 0.56 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4411932}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja oxiana,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja oxiana,terrestrial,terrestrial
P01384,70142,Snake three-finger toxin family,94,,LD(50) is 0.125 mg/kg by intravenous injection. {ECO:0000269|PubMed:497256}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Notechis scutatus scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Notechis,Notechis scutatus,terrestrial,terrestrial
P01387,8665,Snake three-finger toxin family,73,,LD(50) is 0.3 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
A8HDK7,111177,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
A8HDK9,8667,Snake three-finger toxin family,92,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial,terrestrial
A8HDK6,8673,Snake three-finger toxin family,89,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
A8HDK4,100989,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
F8J2F2,66186,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
P34074,8610,Snake three-finger toxin family,71,,LD(50) is 0.086 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja annulata annulata,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulata,terrestrial,terrestrial
Q2VBP5,8665,Snake three-finger toxin family,93,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q2VBP4,8665,Snake three-finger toxin family,91,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
B2BRQ6,471292,Snake three-finger toxin family,107,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Austrelaps labialis,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps labialis,terrestrial,terrestrial
C5ILC5,8665,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P0DKW9,8605,Snake three-finger toxin family,79,,LD(50) is between 0.05 and 0.20 mg/kg by intraperitoneal injection into mice. These data should be viewed cautiously since only a few mice have been injected due to the low amount of toxin available. {ECO:0000269|PubMed:9133710}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial,terrestrial
A8N285,8665,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
A8S6B0,29156,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
A1IVR9,92438,Snake three-finger toxin family,75,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
A6MFK5,412038,Snake three-finger toxin family,88,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial,terrestrial
P01397,8620,Snake three-finger toxin family,72,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
P01395,8621,Snake three-finger toxin family,73,,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V. {ECO:0000269|PubMed:976267}.",DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial,terrestrial
A3FM53,8781,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
P01381,355677,Snake three-finger toxin family,72,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis stokesii,marine,marine
P01388,8643,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial,terrestrial
P25669,35670,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P01386,8665,Snake three-finger toxin family,73,,LD(50) is 0.35 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
A8HDK8,111177,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
F8J2E6,66186,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
Q53B55,8665,Snake three-finger toxin family,94,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q53B53,8665,Snake three-finger toxin family,90,fragment,LD(50) is >300 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q53B59,8665,Snake three-finger toxin family,91,,LD(50) is 110 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q2VBP3,8665,Snake three-finger toxin family,94,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
A1IVR7,92438,Snake three-finger toxin family,75,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P25667,8620,Snake three-finger toxin family,72,,LD(50) is 0.4 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
Q8UW28,8781,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
P25671,35670,Snake three-finger toxin family,71,,LD(50) is 0.10 to 0.15 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P07526,8665,Snake three-finger toxin family,73,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
F8J2D7,66186,Snake three-finger toxin family,108,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
F8J2E5,66186,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
C0HJD7,8620,Snake three-finger toxin family,72,,,DISULFID:5; MOD_RES:1,"Amidation does not significantly affect toxin selectivity, since the activity profile and binding data are reminiscent of classical long-chain 3-finger toxins with a free carboxyl termini. {ECO:0000269|PubMed:24867092}.",GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
P25672,35670,Snake three-finger toxin family,71,,LD(50) is 0.22 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:7326259}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P80156,8665,Snake three-finger toxin family,72,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q53B58,8665,Snake three-finger toxin family,93,,LD(50) is 120 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q53B57,8665,Snake three-finger toxin family,91,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q53B56,8665,Snake three-finger toxin family,91,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P25673,35670,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P80965,8665,Snake three-finger toxin family,72,,Lethal dose is 0.25 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:9163519}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P82662,8665,Snake three-finger toxin family,91,,LD(50) is 100 ug/kg by intraperitoneal injection into mice.,DISULFID:5,,GO:0019835 (cytolysis); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
F8J2E1,66186,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
F8J2E2,66186,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
O42257,33626,Snake three-finger toxin family,90,,LD(50) is 0.14 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:14572646}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P86522,8605,Snake three-finger toxin family,35,fragment,,DISULFID:3,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial,terrestrial
Q7T3J2,92438,Snake three-finger toxin family,95,,LD(50) is 0.23 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:14505938}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
D2N116,132961,Snake three-finger toxin family,76,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Bungarus caeruleus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus caeruleus,terrestrial,terrestrial
P0C8R7,8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine,marine
P0C8R8,8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine,marine
P13495,8673,Snake three-finger toxin family,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:3595609}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
P34073,8605,Snake three-finger toxin family,74,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial,terrestrial
P14612,8670,Snake three-finger toxin family,89,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Pseudechis australis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis australis,terrestrial,terrestrial
Q7T2I3,8630,Snake three-finger toxin family,87,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Laticauda laticaudata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda laticaudata,marine,marine
P0CJ35,8667,Snake three-finger toxin family,28,fragment,LD(50) of the heterotrimer is 50-100 ug/kg to mice. {ECO:0000269|PubMed:1485334}.,DISULFID:1,,GO:0005576 (extracellular region),,1: Evidence at protein level;,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial,terrestrial
P85140,92438,Snake three-finger toxin family,73,,LD(50) is 0.16 ug/g by intravenous injection into mice. {ECO:0000269|PubMed:19728988}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
A7X4Q3,111177,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
A7X4R0,111177,Snake three-finger toxin family,92,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
Q9W7J5,8673,Snake three-finger toxin family,103,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
