Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
Q9PWF3,8732,Snake toxin myotoxin family,65,,Liver; Venom gland,,,Disulfide bond:3,,,,,,both,Crotalus durissus terrificus,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus durissus,terrestrial,terrestrial
P34128,8616,NGF-beta family,243,,Venom gland,,,Disulfide bond:3,,,,,,venom_tissue,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
P25669,35670,Snake toxin family,71,,Venom,,,Disulfide bond:5,,,,,,both,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P60236,8618,Snake toxin family,40,fragment,Venom,,,Disulfide bond:1,,,,,,both,Dendroaspis angusticeps,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,terrestrial,terrestrial
P68415,8682,Snake toxin family,60,,Venom,LD(50) is 0.2 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Hydrophis schistosus,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis schistosus,marine,marine
Q9YGC4,8630,Snake toxin family,83,,Liver; Venom gland,,,Disulfide bond:4,,,,,,both,Laticauda laticaudata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda laticaudata,marine,marine
P10456,8628,Snake toxin family,83,,Venom; Venom gland,,,Disulfide bond:4,,,,,,both,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine,marine
O93364,8729,Flavin monoamine oxidase family,516,,Venom; Venom gland,,Glycoprotein,Disulfide bond:2; Glycosylation:1,GO:0001716 (L-amino-acid oxidase activity),,,GO:0001716 (L-amino-acid oxidase activity),,both,Crotalus adamanteus,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus adamanteus,terrestrial,terrestrial
P59359,29156,Phospholipase A2 family,145,,Venom gland,,,Disulfide bond:7,,,,,,kw_toxin,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q9W7J4,8673,Phospholipase A2 family,154,,Venom; Venom gland,,,Disulfide bond:7,,,,,,venom_tissue,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
Q9I834,98334,Phospholipase A2 family,122,,Venom; Venom gland,,,Disulfide bond:7,,,,,,kw_toxin,Bothrops moojeni,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops moojeni,terrestrial,terrestrial
P58464,113192,Phospholipase A2 family,120,,Venom,,,Disulfide bond:7,,,,,,kw_toxin,Bothrops pirajai,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops pirajai,terrestrial,terrestrial
Q7SID6,36307,Phospholipase A2 family,123,,Venom; Venom gland,,,Disulfide bond:7,,,,,,both,Deinagkistrodon acutus,Chordata,Lepidosauria,Squamata,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,terrestrial,terrestrial
P82950,44730,Phospholipase A2 family,121,,Venom,,,Disulfide bond:7,,,,,,kw_toxin,Metlapilcoatlus nummifer,Chordata,Lepidosauria,Squamata,Viperidae,Metlapilcoatlus,Metlapilcoatlus nummifer,terrestrial,terrestrial
P84474,92438,Phospholipase A2 family,14,fragment,Venom,LD(50) is 0.84 mg/kg by intravenous injection in mice.,,,GO:0004623 (phospholipase A2 activity),,,GO:0004623 (phospholipase A2 activity),,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P14556,8658,Phospholipase A2 family,118,,Venom,,,Disulfide bond:7,,,,,,kw_toxin,Naja pallida,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja pallida,terrestrial,terrestrial
P83240,55084,,24,,Venom,,,,,,,,,venom_tissue,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial,terrestrial
P58606,181095,Assassin bug toxin family,34,,Saliva,,,Disulfide bond:3,,,,,,both,Peirates turpis,Arthropoda,Insecta,Hemiptera,Reduviidae,Peirates,Peirates turpis,terrestrial,terrestrial
P84686,184226,,10,fragment,Venom,,,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,,both,Tityus obscurus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus obscurus,terrestrial,terrestrial
P84692,184226,,10,fragment,Venom,,,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,,both,Tityus obscurus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus obscurus,terrestrial,terrestrial
Q9BJW4,34649,Short scorpion toxin superfamily,59,,,,,Disulfide bond:4,,,,,,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
P0C2F4,217256,Long chain scorpion toxin family,95,,Venom,PD(50) is 80 ul to crickets (Gryllus sp).,,Disulfide bond:3,,,,,,both,Heterometrus laoticus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus,Heterometrus laoticus,terrestrial,terrestrial
P63019,6878,Long (4 C-C) scorpion toxin superfamily,67,,Venom,,,Disulfide bond:4,,,,,,both,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial,terrestrial
Q86SE0,112024,Long (4 C-C) scorpion toxin superfamily,86,,Venom; Venom gland,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Androctonus amoreuxi,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus amoreuxi,terrestrial,terrestrial
Q68PH2,6879,Long (4 C-C) scorpion toxin superfamily,69,fragment,Venom gland,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Centruroides exilicauda,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides exilicauda,terrestrial,terrestrial
P45663,6878,Long (4 C-C) scorpion toxin superfamily,87,,Venom; Venom gland,,,Disulfide bond:4,,,,,,both,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial,terrestrial
P04099,6871,Long (4 C-C) scorpion toxin superfamily,33,fragment,Venom,,,,,,,,,both,Buthus occitanus tunetanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus occitanus,terrestrial,terrestrial
P01491,218467,Long (4 C-C) scorpion toxin superfamily,86,,Venom gland,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Centruroides sculpturatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides sculpturatus,terrestrial,terrestrial
P61095,31925,Spider toxin SFI family,46,,Venom; Venom gland,LD(50) is 10 mg/kg on H.virescens larvae.,,,,,,,,both,Segestria florentina,Arthropoda,Arachnida,Araneae,Segestriidae,Segestria,Segestria florentina,terrestrial,terrestrial
P55902,6871,Long (4 C-C) scorpion toxin superfamily,65,,Venom,LD(50) is 50 ug/kg in mouse by intracerebroventricular injection and 600 ng/g in Blatella germanica.,,Disulfide bond:4,,,,,,both,Buthus occitanus tunetanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus occitanus,terrestrial,terrestrial
Q1KY79,58217,Spider sphingomyelinase family,285,,Venom gland,,,Disulfide bond:1,GO:0050290 (sphingomyelin phosphodiesterase D activity),,,GO:0050290 (sphingomyelin phosphodiesterase D activity),,both,Loxosceles laeta,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,terrestrial,terrestrial
P68726,6884,Long (4 C-C) scorpion toxin superfamily,85,,,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial,terrestrial
P81745,6908,Omega-agatoxin family,43,fragment,Venom,,,,,,,,,both,Agelenopsis aperta,Arthropoda,Arachnida,Araneae,Agelenidae,Agelenopsis,Agelenopsis aperta,terrestrial,terrestrial
P84093,6918,Omega-agatoxin family,80,fragment,Venom gland,,,,,,,,,both,Phoneutria nigriventer,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria nigriventer,terrestrial,terrestrial
Q9BJV7,153482,Omega-atracotoxin type 2 family,100,,Venom gland,,,,,,,,,both,Atrax sp. Illawarra,Arthropoda,Arachnida,Araneae,Hexathelidae,Atrax,Atrax sp. Illawarra,terrestrial,terrestrial
P56855,118974,Spider potassium channel inhibitory toxin family,34,,Venom,,,Disulfide bond:3,,,,,,both,Stromatopelma calceatum griseipes,Arthropoda,Arachnida,Araneae,Theraphosidae,Stromatopelma,Stromatopelma calceatum,terrestrial,terrestrial
P29426,6918,Spider toxin Tx2 family,32,,Venom,,,,,,,,,both,Phoneutria nigriventer,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria nigriventer,terrestrial,terrestrial
P31010,6918,Spider toxin Tx3 family,19,fragment,Venom,,,,,,,,,both,Phoneutria nigriventer,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria nigriventer,terrestrial,terrestrial
Q4LCS8,6858,Long (3 C-C) scorpion toxin superfamily,82,,Venom; Venom gland,,,Disulfide bond:3,GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),,GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),,both,Androctonus australis,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus australis,terrestrial,terrestrial
P0C2A3,122909,,20,fragment,Venom,,,,,,,,,both,Androctonus crassicauda,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus crassicauda,terrestrial,terrestrial
Q86C49,29017,Huwentoxin-2 family,83,,Venom gland,,,Disulfide bond:3,,,,,,both,Cyriopagopus schmidti,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus schmidti,terrestrial,terrestrial
P61505,268490,Huwentoxin-2 family,49,,Venom,,,Disulfide bond:4,,,,,,both,Lasiodora parahybana,Arthropoda,Arachnida,Araneae,Theraphosidae,Lasiodora,Lasiodora parahybana,terrestrial,terrestrial
P83561,223896,,79,,Venom; Venom gland,LD(50) is 0.73 pmol/g to mice by intracranial injection.,,Disulfide bond:3,,,,,,both,Macrothele gigas,Arthropoda,Arachnida,Araneae,Macrothelidae,Macrothele,Macrothele gigas,terrestrial,terrestrial
P36987,33319,Plectoxin family,24,fragment,Venom,,,,,,,,,both,Plectreurys tristis,Arthropoda,Arachnida,Araneae,Plectreuridae,Plectreurys,Plectreurys tristis,terrestrial,terrestrial
P29180,35670,Snake toxin family,65,,Venom,,,Disulfide bond:5,,,,,,both,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P84915,291283,MCD family,14,,Venom,,Amidation,Amidation:1,GO:0019836 (hemolysis by symbiont of host red blood cells); GO:0050921 (positive regulation of chemotaxis); GO:0043306 (positive regulation of mast cell degranulation); GO:0005576 (extracellular region),GO:0019836 (hemolysis by symbiont of host red blood cells); GO:0050921 (positive regulation of chemotaxis); GO:0043306 (positive regulation of mast cell degranulation),GO:0005576 (extracellular region),,,both,Polybia paulista,Arthropoda,Insecta,Hymenoptera,Vespidae,Polybia,Polybia paulista,terrestrial,terrestrial
P81176,242054,Peptidase S1 family,238,,Venom,,Glycoprotein,Disulfide bond:6; Glycosylation:2,,,,,,venom_tissue,Gloydius blomhoffii,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius blomhoffii,terrestrial,terrestrial
Q91508,103944,Peptidase S1 family,257,,Venom gland,,Zymogen,Disulfide bond:6,,,,,,venom_tissue,Protobothrops mucrosquamatus,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops mucrosquamatus,terrestrial,terrestrial
Q8IAE2,163701,Sea anemone actinoporin family,226,,Nematoblast,LD(50) is 50 ug/kg to the shrimp P.paucidens (i.p.).,Cleavage on pair of basic residues,,,,,,,kw_toxin,Phyllodiscus semoni,Cnidaria,Anthozoa,Actiniaria,Aliciidae,Phyllodiscus,Phyllodiscus semoni,marine,marine
P84715,9258,Natriuretic peptide family,39,,Venom,,D-amino acid,D-amino acid:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0005249 (voltage-gated potassium channel activity); GO:0005248 (voltage-gated sodium channel activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0005249 (voltage-gated potassium channel activity); GO:0005248 (voltage-gated sodium channel activity),,both,Ornithorhynchus anatinus,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,terrestrial,terrestrial
P59891,244728,Long (4 C-C) scorpion toxin superfamily,30,fragment,Venom,,,,,,,,,both,Babycurus centrurimorphus,Arthropoda,Arachnida,Scorpiones,Buthidae,Babycurus,Babycurus centrurimorphus,terrestrial,terrestrial
P60977,269418,,39,,Venom; Venom gland,PD(50) is 3.70 +/- 0.19 mg/kg by injection into the abdomen of larvae of H.virescens.,,,,,,,,kw_toxin,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
P85014,257347,,7,,Venom,,D-amino acid; Hydroxylation,D-amino acid:1; Hydroxylation:1,,,,,,venom_tissue,Conus villepinii,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus villepinii,marine,marine
P58787,89452,Contryphan family,63,,Venom; Venom duct,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Disulfide bond:1; Hydroxylation:1,,,,,,both,Conus stercusmuscarum,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus stercusmuscarum,marine,marine
P0C1M2,202807,MCD family,13,,Venom,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa magnifica,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa magnifica,terrestrial,terrestrial
P81990,8607,CRISP family,30,fragment,Venom,,,,,,,,,both,Aspidelaps scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Aspidelaps,Aspidelaps scutatus,terrestrial,terrestrial
P60301,8656,Snake toxin family,81,,Liver; Venom; Venom gland,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01451,8657,Snake toxin family,60,,Venom,,,Disulfide bond:4,,,,,,both,Naja oxiana,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja oxiana,terrestrial,terrestrial
P24777,8626,Snake toxin family,61,,Venom,LD(50) is 2.5 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Hemachatus haemachatus,Chordata,Lepidosauria,Squamata,Elapidae,Hemachatus,Hemachatus haemachatus,terrestrial,terrestrial
P69759,319920,Conotoxin O superfamily,77,,Venom duct,,,Disulfide bond:3,,,,,,both,Conus victoriae,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus victoriae,marine,marine
Q91996,8656,Snake toxin family,83,,Venom gland,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P69753,6492,Conotoxin O superfamily,32,,Venom duct,,Amidation; Hydroxylation,Disulfide bond:3; Amidation:1; Hydroxylation:1,,,,,,both,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
Q5I4E5,6494,Conotoxin I2 superfamily,69,,Venom; Venom gland,,Amidation; Cleavage on pair of basic residues; Gamma-carboxyglutamic acid,Amidation:1; Gamma-carboxyglutamic acid:1,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
Q9U3Z3,89764,Conotoxin I2 superfamily,70,,Venom; Venom duct,,Amidation; Cleavage on pair of basic residues; Gamma-carboxyglutamic acid; Hydroxylation,Gamma-carboxyglutamic acid:3; Amidation:1; Hydroxylation:1,,,,,,both,Conus betulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,marine,marine
P0C1N6,6494,Conotoxin M superfamily,71,,Venom duct,,Amidation; Cleavage on pair of basic residues,Disulfide bond:3; Amidation:1,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P85018,101314,Conotoxin M superfamily,17,,Venom,,,Disulfide bond:3,,,,,,both,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
P56712,37335,Conotoxin O superfamily,31,,Venom,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
P23323,88087,Disintegrin family,75,,Venom,,,Disulfide bond:1,,,,,,venom_tissue,Protobothrops flavoviridis,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops flavoviridis,terrestrial,terrestrial
Q7ZZS9,135726,Contains 1 disintegrin domain,481,,Venom; Venom gland,,Glycoprotein; Zymogen,Disulfide bond:9; Glycosylation:1,,,,,,venom_tissue,Protobothrops jerdonii,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops jerdonii,terrestrial,terrestrial
Q6ITB0,100989,Contains 1 BPTI/Kunitz inhibitor domain,83,,Venom gland,,,Disulfide bond:3,,,,,,both,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
P0C168,369776,Short scorpion toxin superfamily,40,,,,,Disulfide bond:4,,,,,,both,Tityus trivittatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus trivittatus,terrestrial,terrestrial
P0C164,217897,Short scorpion toxin superfamily,39,,Venom,,Amidation,Disulfide bond:3; Amidation:1,,,,,,both,Centruroides elegans,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides elegans,terrestrial,terrestrial
Q6XLL7,190115,Short scorpion toxin superfamily,61,,Venom gland,,Amidation,Disulfide bond:4; Amidation:1,,,,,,both,Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus,Opistophthalmus carinatus,terrestrial,terrestrial
Q86QU6,218467,Ergtoxin family,42,,Venom gland,,,Disulfide bond:4,,,,,,both,Centruroides sculpturatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides sculpturatus,terrestrial,terrestrial
P83655,118530,Short scorpion toxin superfamily,23,,Venom,,,Disulfide bond:2,,,,,,both,Heterometrus spinifer,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus,Heterometrus spinifer,terrestrial,terrestrial
Q1ELU2,379576,Latarcin family,82,,Venom; Venom gland,,Amidation,Amidation:1,,,,,,both,Lachesana tarabaevi,Arthropoda,Arachnida,Araneae,Zodariidae,Lachesana,Lachesana tarabaevi,terrestrial,terrestrial
P84037,8709,Contains 1 C-type lectin domain,43,fragment,Venom,,Glycoprotein,Disulfide bond:1,,,,,,venom_tissue,Macrovipera lebetinus,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus,terrestrial,terrestrial
Q8LW54,7461,Melittin family,77,,,,Amidation,Amidation:1,,,,,,both,Apis cerana,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,terrestrial,terrestrial
Q3HXX7,100989,NGF-beta family,244,,Venom gland,,Cleavage on pair of basic residues,Disulfide bond:3,,,,,,venom_tissue,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
P01384,70142,Snake toxin family,73,,Venom,LD(50) is 0.125 mg/kg by intravenous injection.,,Disulfide bond:5,,,,,,both,Notechis scutatus scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Notechis,Notechis scutatus,terrestrial,terrestrial
Q9W7J5,8673,Snake toxin family,103,,Liver; Venom; Venom gland,,,Disulfide bond:5,,,,,,both,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
P68412,355677,Snake toxin family,60,,Venom,LD(50) is 0.13 mg/kg by intramuscular injection.,,Disulfide bond:4,,,,,,both,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis stokesii,marine,marine
P10457,8628,Snake toxin family,83,,Venom; Venom gland,,,Disulfide bond:4,,,,,,both,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine,marine
P25496,8629,Snake toxin family,62,,Venom,,,Disulfide bond:4,,,,,,both,Laticauda crockeri,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda crockeri,marine,marine
