Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
A8HDK9,8667,Snake three-finger toxin family,92,,,DISULFID:4,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial,terrestrial
A8HDK6,8673,Snake three-finger toxin family,89,,,DISULFID:4,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
A8HDK4,100989,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
F8J2F2,66186,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
P34074,8610,Snake three-finger toxin family,71,,LD(50) is 0.086 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Naja annulata annulata,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulata,terrestrial,terrestrial
Q2VBP5,8665,Snake three-finger toxin family,93,,,DISULFID:4,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q2VBP4,8665,Snake three-finger toxin family,91,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
B2BRQ6,471292,Snake three-finger toxin family,107,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Austrelaps labialis,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps labialis,terrestrial,terrestrial
C5ILC5,8665,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P0DKW9,8605,Snake three-finger toxin family,79,,LD(50) is between 0.05 and 0.20 mg/kg by intraperitoneal injection into mice. These data should be viewed cautiously since only a few mice have been injected due to the low amount of toxin available. {ECO:0000269|PubMed:9133710}.,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial,terrestrial
A8N285,8665,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
A8S6B0,29156,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
A1IVR9,92438,Snake three-finger toxin family,75,fragment,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
A6MFK5,412038,Snake three-finger toxin family,88,,,DISULFID:4,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial,terrestrial
P01397,8620,Snake three-finger toxin family,72,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
P01395,8621,Snake three-finger toxin family,73,,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V. {ECO:0000269|PubMed:976267}.",DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial,terrestrial
A3FM53,8781,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
P01381,355677,Snake three-finger toxin family,72,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,DISULFID:5; MOD_RES:1,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis stokesii,marine,marine
P01388,8643,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial,terrestrial
P25669,35670,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
P01386,8665,Snake three-finger toxin family,73,,LD(50) is 0.35 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
A8HDK8,111177,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
F8J2E6,66186,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0005576 (extracellular region); GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),GO:0030550 (acetylcholine receptor inhibitor activity); GO:0099106 (ion channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial,terrestrial
