Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P84521,317381,,17,,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,,,,,,venom_tissue,Pithecopus hypochondrialis,Chordata,Amphibia,Anura,Hylidae,Pithecopus,Pithecopus hypochondrialis,terrestrial,terrestrial
P58752,170972,Alpha/beta-scorpion toxin family,58,,,,Disulfide bond:3,,,,,,both,Parabuthus transvaalicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Parabuthus,Parabuthus transvaalicus,terrestrial,terrestrial
Q9DGI0,8724,Fetuin family,341,,,Glycoprotein,Disulfide bond:6; Glycosylation:4,GO:0045861 (negative regulation of proteolysis and pept...); GO:0008191 (metalloendopeptidase inhibitor activity),GO:0045861 (negative regulation of proteolysis and pept...),,GO:0008191 (metalloendopeptidase inhibitor activity),,venom_tissue,Bothrops jararaca,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops jararaca,terrestrial,terrestrial
P10521,28643,MCD family,17,,,Amidation,Amidation:1,,,,,,venom_tissue,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07493,28643,MCD family,17,,,Amidation,Amidation:1,,,,,,venom_tissue,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07494,28643,MCD family,17,,,Amidation,Amidation:1,,,,,,venom_tissue,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07495,28643,MCD family,17,,,Amidation,Amidation:1,,,,,,venom_tissue,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P07496,28643,MCD family,17,,,Amidation,Amidation:1,,,,,,venom_tissue,Bombus pensylvanicus,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,terrestrial,terrestrial
P58803,35631,,7,,,Amidation; Bromination; Pyrrolidone carboxylic acid,Amidation:1; Bromination:1; Disulfide bond:1; Pyrrolidone carboxylic acid:1,,,,,,venom_tissue,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine,marine
P59866,42519,,34,,,,,,,,,,venom_tissue,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P59887,42519,Short scorpion toxin family,36,,,,Disulfide bond:4,,,,,,both,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P59886,42519,Short scorpion toxin family,38,,,,Disulfide bond:3,,,,,,both,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P80163,61304,Endothelin/sarafotoxin family,21,,,,Disulfide bond:2,,,,,,kw_toxin,Atractaspis bibronii,Chordata,Lepidosauria,Squamata,Lamprophiidae,Atractaspis,Atractaspis bibronii,terrestrial,terrestrial
P81782,92438,Snake toxin family,63,,,,Disulfide bond:5,,,,,,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P83661,246266,,8,,,,,GO:0005615 (extracellular space),,GO:0005615 (extracellular space),,,venom_tissue,Cyphononyx dorsalis,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cyphononyx,Cyphononyx dorsalis,terrestrial,terrestrial
P83660,246266,,16,,,,,GO:0009405 (pathogenesis); GO:0005615 (extracellular space),GO:0009405 (pathogenesis),GO:0005615 (extracellular space),,,both,Cyphononyx dorsalis,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cyphononyx,Cyphononyx dorsalis,terrestrial,terrestrial
P81783,92438,Snake toxin family,87,,,,Disulfide bond:5,,,,,,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P60976,269418,,80,,PD(50) is 2.37 +/- 0.12 mg/kg by injection into the abdomen of larvae of H.virescens.,,,,,,,,kw_toxin,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
P60977,269418,,39,,PD(50) is 3.70 +/- 0.19 mg/kg by injection into the abdomen of larvae of H.virescens.,,,,,,,,kw_toxin,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
P60978,269418,,39,,,,,,,,,,kw_toxin,Calisoga sp. US5688764,Arthropoda,Arachnida,Araneae,Nemesiidae,Calisoga,Calisoga sp. US5688764,terrestrial,terrestrial
Q8AY75,8723,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Bothrops insularis,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops insularis,terrestrial,terrestrial
Q3SB10,196418,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Hoplocephalus stephensii,Chordata,Lepidosauria,Squamata,Elapidae,Hoplocephalus,Hoplocephalus stephensii,terrestrial,terrestrial
Q3SB12,70142,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Notechis scutatus scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Notechis,Notechis scutatus,terrestrial,terrestrial
Q3SB14,111177,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial,terrestrial
Q3SB15,8667,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial,terrestrial
Q3SB09,8670,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Pseudechis australis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis australis,terrestrial,terrestrial
Q3SB08,8671,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Pseudechis porphyriacus,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis porphyriacus,terrestrial,terrestrial
Q3SB13,8673,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
Q3SB11,100989,Contains 4 EF-hand domains,156,,,,,,,,,,venom_tissue,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
P28878,6493,Conotoxin A superfamily,13,,,Amidation,Disulfide bond:2; Amidation:1,,,,,,both,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P14613,8649,Snake toxin family,62,,,,Disulfide bond:4,,,,,,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
P82849,8649,Snake toxin family,62,,,,Disulfide bond:4,,,,,,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
Q91132,8649,Contains 1 anaphylatoxin-like domain,1642,,,Glycoprotein; Thioester bond,Disulfide bond:13; Glycosylation:4; Cross-link:1,,,,,,venom_tissue,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
Q01833,35670,Contains 1 anaphylatoxin-like domain,1651,,,Thioester bond,Disulfide bond:13; Cross-link:1,,,,,,venom_tissue,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial,terrestrial
Q9TWL9,6492,Phospholipase A2 family,77,,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,,,,,,both,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
Q9TWL8,6492,,42,,,,,,,,,,both,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
Q9XYR5,6491,,76,,,Glycoprotein; Pyrrolidone carboxylic acid,Glycosylation:1; Pyrrolidone carboxylic acid:1,,,,,,both,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine,marine
P84700,257327,,8,,,D-amino acid; Hydroxylation,D-amino acid:2; Hydroxylation:1,,,,,,venom_tissue,Conus gladiator,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus gladiator,marine,marine
P84701,257335,,8,,,D-amino acid; Hydroxylation,D-amino acid:2; Hydroxylation:1,,,,,,venom_tissue,Conus mus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus mus,marine,marine
P05487,6493,Vasopressin/oxytocin family,9,,,Amidation,Amidation:1; Disulfide bond:1,,,,,,venom_tissue,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P58784,41690,Contryphan family,63,,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Disulfide bond:1; Hydroxylation:1,,,,,,both,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
Q9NDA7,6494,Contryphan family,63,,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Hydroxylation:1,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P58785,41690,Contryphan family,8,,,D-amino acid,D-amino acid:1; Disulfide bond:1,,,,,,both,Conus purpurascens,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus purpurascens,marine,marine
Q9NDA5,6494,Contryphan family,63,,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Hydroxylation:1,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
Q9NDA6,6494,Contryphan family,63,,,Amidation; D-amino acid,Amidation:1; D-amino acid:1,,,,,,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P62903,42752,Contryphan family,63,,,Amidation; D-amino acid; Gamma-carboxyglutamic acid,Gamma-carboxyglutamic acid:2; Amidation:1; D-amino acid:1; Disulfide bond:1,,,,,,both,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
P58786,61198,Contryphan family,63,,,Amidation; Bromination; D-amino acid; Hydroxylation,Amidation:1; Bromination:1; D-amino acid:1; Disulfide bond:1; Hydroxylation:1,,,,,,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
P58787,89452,Contryphan family,63,,,Amidation; D-amino acid; Hydroxylation,Amidation:1; D-amino acid:1; Disulfide bond:1; Hydroxylation:1,,,,,,both,Conus stercusmuscarum,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus stercusmuscarum,marine,marine
P83047,117992,Contryphan family,9,,,Amidation; D-amino acid,Amidation:1; D-amino acid:1; Disulfide bond:1,,,,,,both,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine,marine
P17237,7495,MCD family,13,,,Amidation,Amidation:1,,,,,,venom_tissue,Icaria sp.,Arthropoda,Insecta,Hymenoptera,Vespidae,Icaria,Icaria sp.,terrestrial,terrestrial
P17233,7449,MCD family,13,,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa analis,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa analis,terrestrial,terrestrial
P01518,7445,MCD family,13,,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa crabro,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,terrestrial,terrestrial
P17235,7452,MCD family,13,,,Amidation,Amidation:1,,,,,,venom_tissue,Vespula lewisii,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula lewisii,terrestrial,terrestrial
P17232,7446,MCD family,13,,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa mandarinia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa mandarinia,terrestrial,terrestrial
P17236,7447,MCD family,14,,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa orientalis,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa orientalis,terrestrial,terrestrial
P17231,7450,MCD family,13,,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa tropica,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa tropica,terrestrial,terrestrial
P17234,7448,MCD family,13,,,Amidation,Amidation:1,,,,,,venom_tissue,Vespa simillima xanthoptera,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa simillima,terrestrial,terrestrial
P81991,29156,CRISP family,46,fragment,,,,,,,,,both,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q8UW25,8781,CRISP family,238,,,,Disulfide bond:8,,,,,,both,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
Q7T1K6,8656,CRISP family,239,,,,Disulfide bond:8,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P81992,29156,CRISP family,28,fragment,,,,,,,,,both,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q8UW11,8781,CRISP family,238,,,,Disulfide bond:8,,,,,,both,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine,marine
Q7ZZN8,8656,CRISP family,238,,,,Disulfide bond:8,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q8JI40,242054,CRISP family,240,,,,Disulfide bond:8,,,,,,both,Gloydius blomhoffii,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius blomhoffii,terrestrial,terrestrial
Q7ZTA0,8716,CRISP family,240,,,,Disulfide bond:8,,,,,,both,Agkistrodon piscivorus piscivorus,Chordata,Lepidosauria,Squamata,Viperidae,Agkistrodon,Agkistrodon piscivorus,terrestrial,terrestrial
P81990,8607,CRISP family,30,fragment,,,,,,,,,both,Aspidelaps scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Aspidelaps,Aspidelaps scutatus,terrestrial,terrestrial
P81993,92438,CRISP family,67,fragment,,,,,,,,,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
Q7ZT99,8730,CRISP family,240,,,,Disulfide bond:8,,,,,,both,Crotalus atrox,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus atrox,terrestrial,terrestrial
Q8JI38,8631,CRISP family,238,,,,Disulfide bond:8,,,,,,both,Laticauda semifasciata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda semifasciata,marine,marine
Q7ZT98,8665,CRISP family,239,,,,Disulfide bond:8,,,,,,both,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q8AVA4,8670,CRISP family,238,,,,Disulfide bond:8,,,,,,both,Pseudechis australis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis australis,terrestrial,terrestrial
Q8AVA3,8671,CRISP family,238,,,,Disulfide bond:8,,,,,,both,Pseudechis porphyriacus,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis porphyriacus,terrestrial,terrestrial
Q8JGT9,193080,CRISP family,237,,,,Disulfide bond:8,,,,,,both,Rhabdophis tigrinus tigrinus,Chordata,Lepidosauria,Squamata,Colubridae,Rhabdophis,Rhabdophis tigrinus,terrestrial,terrestrial
Q8JI39,88087,CRISP family,240,,,,Disulfide bond:8,,,,,,both,Protobothrops flavoviridis,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops flavoviridis,terrestrial,terrestrial
Q7ZZN9,135726,CRISP family,240,,,,Disulfide bond:8,,,,,,both,Protobothrops jerdonii,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops jerdonii,terrestrial,terrestrial
P79845,103944,CRISP family,240,,,,Disulfide bond:8,,,,,,both,Protobothrops mucrosquamatus,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops mucrosquamatus,terrestrial,terrestrial
P81995,101163,CRISP family,33,fragment,,,,,,,,,both,Trimeresurus purpureomaculatus,Chordata,Lepidosauria,Squamata,Viperidae,Trimeresurus,Trimeresurus purpureomaculatus,terrestrial,terrestrial
P60623,39682,CRISP family,233,fragment,,,Disulfide bond:8,,,,,,both,Trimeresurus stejnegeri,Chordata,Lepidosauria,Squamata,Viperidae,Trimeresurus,Trimeresurus stejnegeri,terrestrial,terrestrial
P81994,100989,CRISP family,27,fragment,,,,,,,,,both,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial,terrestrial
Q6HAA2,8732,Snake toxin myotoxin family,63,,,,Disulfide bond:3,,,,,,venom_tissue,Crotalus durissus terrificus,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus durissus,terrestrial,terrestrial
Q9W6W6,8656,Snake toxin family,82,,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q9GV72,78582,Jellyfish toxin family,450,,LD(50) is 20 ug/kg by intravenous injection into mice and 5 ug/kg by intraperitoneal injection into crayfish.,,,,,,,,kw_toxin,Carybdea rastonii,Cnidaria,Cubozoa,Carybdeida,Carybdeidae,Carybdea,Carybdea rastonii,marine,marine
P60304,8656,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60305,8649,Snake toxin family,60,,,,Disulfide bond:4,,,,,,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
O93471,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q9PST4,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q9PST3,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
O93472,33626,Snake toxin family,81,,,,Disulfide bond:3,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P01442,8656,Snake toxin family,81,,LD(50) is 2.1 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q9DGH9,8649,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
P60306,8656,Snake toxin family,60,,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60301,8656,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60302,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
O93473,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
O73856,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q9W6W9,8656,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01443,8656,Snake toxin family,81,,LD(50) is 2.1 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P60303,8649,Snake toxin family,81,,LD(50) is 1.48 mg/kg by intraperitoneal injection.,,Disulfide bond:4,,,,,,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
O73857,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P60310,33626,Snake toxin family,81,,,,Disulfide bond:4,,,,,,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
