Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P85025,8718,,11,,Venom,,,,GO:0009405 (pathogenesis); GO:0045777 (positive regulation of blood pressure); GO:0050880 (regulation of blood vessel size); GO:0005576 (extracellular region),GO:0009405 (pathogenesis); GO:0045777 (positive regulation of blood pressure); GO:0050880 (regulation of blood vessel size),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Agkistrodon bilineatus,Chordata,Lepidosauria,Squamata,Viperidae,Agkistrodon,Agkistrodon bilineatus,terrestrial,terrestrial
P0CD69,30192,MCD family,19,,Venom,,,,GO:0042742 (defense response to bacterium); GO:0050832 (defense response to fungus); GO:0031640 (killing of cells of another organism); GO:0043303 (mast cell degranulation); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0042742 (defense response to bacterium); GO:0050832 (defense response to fungus); GO:0031640 (killing of cells of another organism); GO:0043303 (mast cell degranulation); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Bombus lapidarius,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus lapidarius,terrestrial,terrestrial
P0C7K3,8742,,11,,Venom,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,GO:0009405 (pathogenesis); GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region),GO:0009405 (pathogenesis); GO:0008217 (regulation of blood pressure),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Crotalus viridis viridis,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus viridis,terrestrial,terrestrial
P0C7S0,98334,,13,,Venom,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,GO:0009405 (pathogenesis); GO:0008217 (regulation of blood pressure); GO:0005576 (extracellular region),GO:0009405 (pathogenesis); GO:0008217 (regulation of blood pressure),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Bothrops moojeni,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops moojeni,terrestrial,terrestrial
P81782,92438,Snake three-finger toxin family,63,,Venom,,Disulfide bond,Disulfide bond:5,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),,1: Evidence at protein level,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
P83660,246266,,16,,Venom,,,,GO:0009405 (pathogenesis); GO:0005615 (extracellular space),GO:0009405 (pathogenesis),GO:0005615 (extracellular space),,1: Evidence at protein level,both,Cyphononyx dorsalis,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cyphononyx,Cyphononyx dorsalis,terrestrial,terrestrial
P0C845,439592,Gemmula Pg superfamily,82,,Venom duct,,Disulfide bond; Gamma-carboxyglutamic acid; Hydroxylation,Disulfide bond:3; Gamma-carboxyglutamic acid:2; Hydroxylation:2,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Gemmula speciosa,Mollusca,Gastropoda,Neogastropoda,Turridae,Gemmula,Gemmula speciosa,marine,marine
Q6PTD7,101313,Conotoxin A superfamily,67,,Venom duct,,Disulfide bond,Disulfide bond:2,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),2: Evidence at transcript level,both,Conus quercinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus quercinus,marine,marine
A1X8C3,101306,Conotoxin A superfamily,64,,Venom duct,,Disulfide bond,Disulfide bond:2,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),2: Evidence at transcript level,both,Conus leopardus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus leopardus,marine,marine
P0C1W1,6492,Conotoxin A superfamily,15,,,,Amidation; Disulfide bond,Disulfide bond:2; Amidation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level,both,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
P0C1W9,330676,Conotoxin A superfamily,18,,,,Disulfide bond; Hydroxylation,Hydroxylation:2,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),2: Evidence at transcript level,both,Conus pergrandis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pergrandis,marine,marine
A6YR24,72280,,45,,,,Disulfide bond,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine,marine
A6YR29,72280,,45,,,,Disulfide bond,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine,marine
A7LI90,72280,Conotoxin O1 superfamily,84,,,,Disulfide bond,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Californiconus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,marine,marine
Q7Z090,61198,Conotoxin I1 superfamily,75,,Venom duct,,Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),2: Evidence at transcript level,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
P0C258,101315,Conotoxin I2 superfamily,70,,Venom duct,,Amidation; Cleavage on pair of basic residues; Disulfide bond; Gamma-carboxyglutamic acid; Hydroxylation,Disulfide bond:4; Gamma-carboxyglutamic acid:3; Amidation:1; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019870 (potassium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019870 (potassium channel inhibitor activity),2: Evidence at transcript level,both,Conus striolatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striolatus,marine,marine
Q90WI7,8613,Contains 1 C-type lectin domain,158,,Venom gland,,Disulfide bond; Glycoprotein,Disulfide bond:4; Glycosylation:1,GO:0005576 (extracellular region); GO:0046872 (metal ion binding); GO:0005529 (sugar binding),,GO:0005576 (extracellular region),GO:0046872 (metal ion binding); GO:0005529 (sugar binding),2: Evidence at transcript level,venom_tissue,Bungarus fasciatus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus fasciatus,terrestrial,terrestrial
Q2I2Q5,89445,Conotoxin M superfamily,69,,Venom; Venom duct,,Disulfide bond; Gamma-carboxyglutamic acid; Hydroxylation,Disulfide bond:3; Gamma-carboxyglutamic acid:2; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0090072 (positive regulation of sodium ion transport via voltage-gated sodium channel activity); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis); GO:0090072 (positive regulation of sodium ion transport via voltage-gated sodium channel activity),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),1: Evidence at protein level,both,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine,marine
Q9BH73,6494,Conotoxin M superfamily,70,,Venom; Venom duct,,Amidation; Disulfide bond,Disulfide bond:3; Amidation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),1: Evidence at protein level,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
B6V6L0,35631,Conotoxin M superfamily,81,,Venom duct,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus imperialis,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,marine,marine
Q5K0C7,89427,Conotoxin O1 superfamily,79,,Venom duct,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus virgo,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus virgo,marine,marine
Q2I2R1,89445,Conotoxin O1 superfamily,89,,Venom duct,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus litteratus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,marine,marine
Q9TVF6,89426,Conotoxin O1 superfamily,69,fragment,Venom duct,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus lividus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus lividus,marine,marine
Q9XZK8,6494,Conotoxin O1 superfamily,76,,Venom duct,,Disulfide bond,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane); GO:0019855 (calcium channel inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),GO:0019855 (calcium channel inhibitor activity),2: Evidence at transcript level,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
P69757,89452,Conotoxin O1 superfamily,82,,Venom duct,,Cleavage on pair of basic residues; Disulfide bond; Hydroxylation,Disulfide bond:3; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),GO:0019871 (sodium channel inhibitor activity),2: Evidence at transcript level,both,Conus stercusmuscarum,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus stercusmuscarum,marine,marine
P37300,6492,Conotoxin O1 superfamily,29,fragment,,,Amidation; Disulfide bond,Disulfide bond:3; Amidation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane); GO:0019855 (calcium channel inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0042734 (presynaptic membrane),GO:0019855 (calcium channel inhibitor activity),1: Evidence at protein level,both,Conus magus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus magus,marine,marine
B2KPN7,42752,Conomarphin superfamily,71,,Venom; Venom duct,,D-amino acid; Hydroxylation,D-amino acid:1; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),1: Evidence at protein level,both,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
P81992,29156,CRISP family,28,fragment,Venom,,,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019855 (calcium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019855 (calcium channel inhibitor activity),1: Evidence at protein level,both,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q7ZT98,8665,CRISP family,239,,Venom gland,,Disulfide bond,Disulfide bond:8,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019855 (calcium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019855 (calcium channel inhibitor activity),1: Evidence at protein level,both,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
Q9BH75,101317,Conotoxin T superfamily,64,,Venom duct,,Amidation; Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:2; Amidation:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Conus tessulatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tessulatus,marine,marine
Q3YEG9,89426,Conotoxin T superfamily,64,,Venom duct,,Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:2,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Conus lividus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus lividus,marine,marine
P0C666,89440,Conotoxin T superfamily,71,,Venom duct,,Amidation; Disulfide bond,Disulfide bond:2,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0008200 (ion channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0008200 (ion channel inhibitor activity),2: Evidence at transcript level,both,Conus caracteristicus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus caracteristicus,marine,marine
C0KYC6,192919,Conotoxin T superfamily,62,,,,Cleavage on pair of basic residues; Disulfide bond,Disulfide bond:2,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Conus spurius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus spurius,marine,marine
P07525,8656,Snake three-finger toxin family,60,,Venom,,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019855 (calcium channel inhibitor activity),GO:0019835 (cytolysis); GO:0044179 (hemolysis of cells in other organism); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019855 (calcium channel inhibitor activity),1: Evidence at protein level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P86436,6858,Short scorpion toxin superfamily,34,,Venom,,Disulfide bond,Disulfide bond:4,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019869 (chloride channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019869 (chloride channel inhibitor activity),1: Evidence at protein level,both,Androctonus australis,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus australis,terrestrial,terrestrial
P0C5H4,31159,Snake three-finger toxin family,20,fragment,Venom,,,,GO:0006915 (apoptosis); GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0006915 (apoptosis); GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Daboia russelii russelii,Chordata,Lepidosauria,Squamata,Viperidae,Daboia,Daboia russelii,terrestrial,terrestrial
Q98961,8656,Snake three-finger toxin family,81,,Venom gland,,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,2: Evidence at transcript level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P01460,8641,Snake three-finger toxin family,60,,Venom,LD(50) is 2.6 mg/kg by intravenous injection.,Disulfide bond,Disulfide bond:4,GO:0019835 (cytolysis); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0019835 (cytolysis); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Naja annulifera,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulifera,terrestrial,terrestrial
C4PWC3,101309,Conotoxin D superfamily,93,,Venom; Venom duct,,Disulfide bond; Gamma-carboxyglutamic acid; Hydroxylation,Gamma-carboxyglutamic acid:1; Hydroxylation:1,GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission); GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0009405 (pathogenesis); GO:0007268 (synaptic transmission),GO:0005576 (extracellular region); GO:0045211 (postsynaptic membrane),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level,both,Conus mustelinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus mustelinus,marine,marine
P0C6A4,99586,Disintegrin family,66,,Venom,,Disulfide bond,Disulfide bond:6,GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Echis ocellatus,Chordata,Lepidosauria,Squamata,Viperidae,Echis,Echis ocellatus,terrestrial,terrestrial
P83253,8709,Disintegrin family,111,,Venom; Venom gland,,Disulfide bond,Disulfide bond:6,GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0030195 (negative regulation of blood coagulation); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0030195 (negative regulation of blood coagulation); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Macrovipera lebetinus,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus,terrestrial,terrestrial
Q6T6T3,8694,Disintegrin family,128,,Venom; Venom gland,,Disulfide bond,Disulfide bond:6,GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Bitis gabonica,Chordata,Lepidosauria,Squamata,Viperidae,Bitis,Bitis gabonica,terrestrial,terrestrial
Q3BER1,99586,Disintegrin family,128,,Venom; Venom gland,,Disulfide bond,Disulfide bond:5,GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis); GO:0005576 (extracellular region),GO:0007596 (blood coagulation); GO:0007155 (cell adhesion); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),,1: Evidence at protein level,both,Echis ocellatus,Chordata,Lepidosauria,Squamata,Viperidae,Echis,Echis ocellatus,terrestrial,terrestrial
