Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Keywords,PTM Summary,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
Q9W6W6,8656,Snake three-finger toxin family,82,,,,Disulfide bond:4,,,,,Evidence at transcript level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
Q2VBN8,8665,Snake three-finger toxin family,84,,,,Disulfide bond:4,,,,,Evidence at transcript level,both,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial,terrestrial
P84704,257347,Conotoxin L superfamily,27,,,,Disulfide bond:2,,,,,Evidence at protein level,both,Conus villepinii,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus villepinii,marine,marine
P01474,8643,Snake three-finger toxin family,61,,LD(50) is 6.25 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,Evidence at protein level,both,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial,terrestrial
P60307,8656,Snake three-finger toxin family,60,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial,terrestrial
P0C1W4,6493,Conotoxin A superfamily,62,,,Amidation,Disulfide bond:2; Amidation:1,,,,,Evidence at transcript level,both,Conus striatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus striatus,marine,marine
P0C1W8,89447,Conotoxin A superfamily,19,,,Amidation; Hydroxylation,Disulfide bond:3; Hydroxylation:2; Amidation:1,,,,,Evidence at protein level,both,Conus obscurus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus obscurus,marine,marine
P50985,37335,Conotoxin A superfamily,61,,,Amidation; Sulfation,Disulfide bond:2; Amidation:1; Sulfation:1,,,,,Evidence at protein level,both,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
Q7Z097,61198,Conotoxin I1 superfamily,46,fragment,,D-amino acid,Disulfide bond:4; D-amino acid:1,,,,,Evidence at transcript level,both,Conus radiatus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus radiatus,marine,marine
Q9U3Z3,89764,Conotoxin I2 superfamily,70,,,Amidation; Cleavage on pair of basic residues; Gamma-carboxyglutamic acid; Hydroxylation,Gamma-carboxyglutamic acid:3; Amidation:1; Hydroxylation:1,,,,,Evidence at protein level,both,Conus betulinus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,marine,marine
Q5EHP2,42752,Conotoxin M-1 superfamily,70,,,,Disulfide bond:3,,,,,Evidence at transcript level,both,Conus marmoreus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus marmoreus,marine,marine
P85017,101314,Conotoxin M-1 superfamily,16,,,Amidation; Hydroxylation,Disulfide bond:3; Amidation:1; Hydroxylation:1,,,,,Evidence at protein level,both,Conus regius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus regius,marine,marine
Q3YEG4,69564,Conotoxin O superfamily,74,,,Cleavage on pair of basic residues,Disulfide bond:3,,,,,Evidence at transcript level,both,Conus miles,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus miles,marine,marine
P01522,6491,Conotoxin O superfamily,73,,,Amidation; Hydroxylation,Disulfide bond:3; Hydroxylation:3; Amidation:1,,,,,Evidence at protein level,both,Conus geographus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,marine,marine
P83301,117992,Conotoxin O superfamily,33,,,Amidation,Disulfide bond:3; Amidation:1,GO:0046929 (negative regulation of neurotransmitter sec...); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019855 (calcium channel inhibitor activity),GO:0046929 (negative regulation of neurotransmitter sec...); GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019855 (calcium channel inhibitor activity),Evidence at protein level,both,Conus ventricosus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus ventricosus,marine,marine
Q805F5,8716,Disintegrin family,111,,,,Disulfide bond:6,,,,,Evidence at protein level,venom_tissue,Agkistrodon piscivorus piscivorus,Chordata,Lepidosauria,Squamata,Viperidae,Agkistrodon,Agkistrodon piscivorus,terrestrial,terrestrial
P17497,8692,Disintegrin family,83,,,,Disulfide bond:7,,,,,Evidence at protein level,both,Bitis arietans,Chordata,Lepidosauria,Squamata,Viperidae,Bitis,Bitis arietans,terrestrial,terrestrial
P0C6B5,40353,Disintegrin family,63,,,,Disulfide bond:6,,,,,Evidence at protein level,both,Echis carinatus,Chordata,Lepidosauria,Squamata,Viperidae,Echis,Echis carinatus,terrestrial,terrestrial
Q75WF2,133434,DNase II family,358,,LD(50) is 140 ug/kg by intraventricular injection into mice.,Glycoprotein,Glycosylation:1,,,,,Evidence at protein level,both,Acanthaster planci,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,Acanthaster,Acanthaster planci,marine,marine
P49344,39300,Ectatomin family,34,,LD(50) is 6.8 ug/kg by intracerebroventricular injection into mice.,,Disulfide bond:2,,,,,Evidence at protein level,both,Ectatomma tuberculatum,Arthropoda,Insecta,Hymenoptera,Formicidae,Ectatomma,Ectatomma tuberculatum,terrestrial,terrestrial
P00981,8620,Contains 1 BPTI/Kunitz inhibitor domain,79,fragment,LD(50) is 30 mg/kg by intravenous injection.,,Disulfide bond:3,,,,,Evidence at protein level,both,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial,terrestrial
P84777,57059,Short scorpion toxin superfamily,38,,,Pyrrolidone carboxylic acid,Disulfide bond:3; Pyrrolidone carboxylic acid:1,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019870 (potassium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019870 (potassium channel inhibitor activity),Evidence at protein level,both,Tityus discrepans,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus discrepans,terrestrial,terrestrial
P0C182,6878,Short scorpion toxin superfamily,37,,,Pyrrolidone carboxylic acid,Disulfide bond:3,,,,,Evidence at protein level,both,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial,terrestrial
Q5G8B6,309814,Short scorpion toxin superfamily,59,,,,Disulfide bond:3,,,,,Evidence at protein level,both,Tityus costatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus costatus,terrestrial,terrestrial
P84744,6871,Short scorpion toxin superfamily,28,,,Amidation,Disulfide bond:3; Amidation:1,GO:0043267 (negative regulation of potassium ion transport); GO:0005576 (extracellular region); GO:0019870 (potassium channel inhibitor activity),GO:0043267 (negative regulation of potassium ion transport),GO:0005576 (extracellular region),GO:0019870 (potassium channel inhibitor activity),Evidence at protein level,both,Buthus occitanus tunetanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus occitanus,terrestrial,terrestrial
Q9TWF9,6108,Contains 1 BPTI/Kunitz inhibitor domain,58,,,,Disulfide bond:3,,,,,Evidence at protein level,kw_toxin,Anemonia sulcata,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,marine,marine
P59940,218467,Ergtoxin family,43,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Centruroides sculpturatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides sculpturatus,terrestrial,terrestrial
P01502,7462,Melittin family,26,,,Amidation,Amidation:1,,,,,Evidence at protein level,both,Apis dorsata,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis dorsata,terrestrial,terrestrial
P01475,8732,Snake toxin myotoxin family,42,,LD(50) is 1.5 mg/kg by intravenous injection. LD(50) is 32.8 mg/kg by intraperitoneal injection into mice.,,Disulfide bond:3,,,,,Evidence at protein level,both,Crotalus durissus terrificus,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus durissus,terrestrial,terrestrial
P34128,8616,NGF-beta family,243,,,,Disulfide bond:3,,,,,Evidence at transcript level,both,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
Q8AY55,92438,Snake three-finger toxin family,87,,,,Disulfide bond:5,,,,,Evidence at transcript level,both,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial,terrestrial
A6MFK5,412038,Snake three-finger toxin family,88,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial,terrestrial
P13495,8673,Snake three-finger toxin family,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice.,,Disulfide bond:5,,,,,Evidence at protein level,both,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial,terrestrial
P68415,8682,Snake three-finger toxin family,60,,LD(50) is 0.2 mg/kg by intravenous injection.,,Disulfide bond:4,,,,,Evidence at protein level,both,Hydrophis schistosus,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis schistosus,marine,marine
P01422,8641,Snake three-finger toxin family,61,,LD(50) is 0.12 mg/kg by subcutaneous injection.,,Disulfide bond:4,,,,,Evidence at protein level,both,Naja annulifera,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulifera,terrestrial,terrestrial
O57327,33626,Snake three-finger toxin family,83,,,,Disulfide bond:4,,,,,Evidence at transcript level,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P0C2D7,31156,Flavin monoamine oxidase family,88,,,Glycoprotein,,GO:0001716 (L-amino-acid oxidase activity),,,GO:0001716 (L-amino-acid oxidase activity),Evidence at protein level,both,Vipera berus berus,Chordata,Lepidosauria,Squamata,Viperidae,Vipera,Vipera berus,terrestrial,terrestrial
Q06478,7441,AB hydrolase superfamily,317,fragment,,Glycoprotein,Glycosylation:2,GO:0004623 (phospholipase A2 activity),,,GO:0004623 (phospholipase A2 activity),Evidence at protein level,venom_tissue,Dolichovespula maculata,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,Dolichovespula maculata,terrestrial,terrestrial
Q8QFW4,132961,Phospholipase A2 family,147,,,,Disulfide bond:7,,,,,Evidence at transcript level,both,Bungarus caeruleus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus caeruleus,terrestrial,terrestrial
P14420,73841,Phospholipase A2 family,122,,,,Disulfide bond:7,,,,,Evidence at protein level,both,Vipera ammodytes meridionalis,Chordata,Lepidosauria,Squamata,Viperidae,Vipera,Vipera ammodytes,terrestrial,terrestrial
P24294,8702,Phospholipase A2 family,121,,,,Disulfide bond:7,,,,,Evidence at protein level,venom_tissue,Eristicophis macmahoni,Chordata,Lepidosauria,Squamata,Viperidae,Eristicophis,Eristicophis macmahoni,terrestrial,terrestrial
P00601,8643,Phospholipase A2 family,119,,,,Disulfide bond:7,,,,,Evidence at protein level,venom_tissue,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial,terrestrial
Q02471,343250,Phospholipase A2 family,138,,LD(50) is 0.32 mg/kg by intravenous injection for RV-4 and 0.15 mg/kg for RV-4/RV-7 complex.,,Disulfide bond:7,,,,,Evidence at protein level,both,Daboia siamensis,Chordata,Lepidosauria,Squamata,Viperidae,Daboia,Daboia siamensis,terrestrial,terrestrial
Q9PU97,8616,Phospholipase A2 family,137,fragment,,,Disulfide bond:7,,,,,Evidence at transcript level,both,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
P81166,8635,Phospholipase A2 family,118,,,,Disulfide bond:7,,,,,Evidence at protein level,both,Micrurus nigrocinctus,Chordata,Lepidosauria,Squamata,Elapidae,Micrurus,Micrurus nigrocinctus,terrestrial,terrestrial
Q9PTA6,8616,Phospholipase A2 family,138,fragment,,,Disulfide bond:7,,,,,Inferred from homology,kw_toxin,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial,terrestrial
P82950,44730,Phospholipase A2 family,121,,,,Disulfide bond:7,,,,,Evidence at protein level,both,Metlapilcoatlus nummifer,Chordata,Lepidosauria,Squamata,Viperidae,Metlapilcoatlus,Metlapilcoatlus nummifer,terrestrial,terrestrial
P59068,29156,Phospholipase A2 family,57,fragment,,,Disulfide bond:1,,,,,Evidence at protein level,both,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial,terrestrial
Q10756,33626,Phospholipase A2 family,16,fragment,,,,,,,,Evidence at protein level,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
Q7M3V3,7447,,139,,,,,GO:0004623 (phospholipase A2 activity),,,GO:0004623 (phospholipase A2 activity),Evidence at protein level,both,Vespa orientalis,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa orientalis,terrestrial,terrestrial
Q95P69,34649,Long (4 C-C) scorpion toxin superfamily,85,,,,Disulfide bond:4,,,,,Evidence at transcript level,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
P83406,6863,Short scorpion toxin superfamily,28,,,,Disulfide bond:3,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0005246 (calcium channel regulator activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0005246 (calcium channel regulator activity),Evidence at protein level,both,Hottentotta judaicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta judaicus,terrestrial,terrestrial
P56678,6884,Long (4 C-C) scorpion toxin superfamily,67,,LD(50) is 50 mg/kg by intracerebroventricular injection into mice.,Amidation,Disulfide bond:4; Amidation:1,,,,,Evidence at protein level,both,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial,terrestrial
P56608,50343,Long (4 C-C) scorpion toxin superfamily,62,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Tityus bahiensis,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus bahiensis,terrestrial,terrestrial
P68411,50344,Long (4 C-C) scorpion toxin superfamily,62,,,Amidation,Disulfide bond:4; Amidation:1,,,,,Evidence at protein level,both,Tityus stigmurus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus stigmurus,terrestrial,terrestrial
P83435,203543,Long (4 C-C) scorpion toxin superfamily,62,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Tityus fasciolatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus fasciolatus,terrestrial,terrestrial
Q7YXD3,6860,Long (4 C-C) scorpion toxin superfamily,85,,LD(50) is 11.25 ug/kg by intracerebroventricular injection into mice but is not toxic (>1 mg/mouse) when injected subcutaneously.,,Disulfide bond:4,,,,,Evidence at protein level,both,Androctonus mauritanicus mauritanicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus mauritanicus,terrestrial,terrestrial
Q9BLM0,6858,Long (3 C-C) scorpion toxin superfamily,72,,,,Disulfide bond:3,,,,,Evidence at transcript level,both,Androctonus australis,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus australis,terrestrial,terrestrial
O61668,34649,Long (4 C-C) scorpion toxin superfamily,88,,PD(50) is 0.18 ng/mg of gryllus bimaculatus crickets.,Amidation,Disulfide bond:4; Amidation:1,,,,,Evidence at protein level,both,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
Q9BN12,34647,Short scorpion toxin superfamily,35,,,,Disulfide bond:3,,,,,Evidence at protein level,both,Hottentotta tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta tamulus,terrestrial,terrestrial
P0C2L7,153481,Omega-atracotoxin type 1 family,37,,,,Disulfide bond:3,,,,,Evidence at protein level,both,Hadronyche infensa,Arthropoda,Arachnida,Araneae,Hexathelidae,Hadronyche,Hadronyche infensa,terrestrial,terrestrial
O76199,6918,Spider toxin Tx2 family,82,,,,Disulfide bond:5,,,,,Evidence at transcript level,both,Phoneutria nigriventer,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria nigriventer,terrestrial,terrestrial
O76201,6918,Plectoxin superfamily,82,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Phoneutria nigriventer,Arthropoda,Arachnida,Araneae,Ctenidae,Phoneutria,Phoneutria nigriventer,terrestrial,terrestrial
P0C5G1,6112,Sea anemone sodium channel inhibitory toxin family,47,,,,Disulfide bond:3,,,,,Inferred from homology,kw_toxin,Anthopleura xanthogrammica,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura xanthogrammica,marine,marine
P01528,6108,Sea anemone sodium channel inhibitory toxin family,47,,,,Disulfide bond:3,,,,,Evidence at protein level,kw_toxin,Anemonia sulcata,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,marine,marine
P83619,6928,Cupiennin family,35,,LD(50) is 5.9 pmol/mg on Drosophila.,Amidation,Amidation:1,,,,,Evidence at protein level,both,Cupiennius salei,Arthropoda,Arachnida,Araneae,Ctenidae,Cupiennius,Cupiennius salei,terrestrial,terrestrial
P0C1R3,278061,Delta-atracotoxin family,42,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Hadronyche sp. 20,Arthropoda,Arachnida,Araneae,Hexathelidae,Hadronyche,Hadronyche sp. 20,terrestrial,terrestrial
Q86C49,29017,Huwentoxin-2 family,83,,,,Disulfide bond:3,,,,,Evidence at transcript level,both,Cyriopagopus schmidti,Arthropoda,Arachnida,Araneae,Theraphosidae,Cyriopagopus,Cyriopagopus schmidti,terrestrial,terrestrial
P85265,406443,Spider toxin Tx2 family,40,,,,Disulfide bond:5,,,,,Evidence at protein level,both,Oligoctenus ornatus,Arthropoda,Arachnida,Araneae,Ctenidae,Oligoctenus,Oligoctenus ornatus,terrestrial,terrestrial
P82462,8649,Snake three-finger toxin family,65,,,,Disulfide bond:4,,,,,Evidence at protein level,both,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial,terrestrial
P49266,54074,Huwentoxin-1 superfamily,34,,,,Disulfide bond:3,,,,,Evidence at protein level,both,Brachypelma smithi,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma,Brachypelma smithi,terrestrial,terrestrial
Q90X23,8724,PDGF/VEGF growth factor family,146,,,Pyrrolidone carboxylic acid,Disulfide bond:5; Pyrrolidone carboxylic acid:1,,,,,Evidence at protein level,both,Bothrops jararaca,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops jararaca,terrestrial,terrestrial
Q802B3,33626,Snake three-finger toxin family,86,,,,Disulfide bond:5,,,,,Evidence at transcript level,both,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial,terrestrial
P35777,13686,Ant venom allergen 2/4 family,137,,,,,,,,,Evidence at protein level,venom_tissue,Solenopsis invicta,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,terrestrial,terrestrial
P35785,30213,CRISP family,204,,,,Disulfide bond:4,,,,,Evidence at protein level,venom_tissue,Vespula pensylvanica,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula pensylvanica,terrestrial,terrestrial
Q7M3T2,7448,Bradykinin family,12,,,,,,,,,Evidence at protein level,venom_tissue,Vespa simillima xanthoptera,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa simillima,terrestrial,terrestrial
Q86RQ7,34649,Contains 1 TIL (trypsin inhibitory-like) domain,89,,,,Disulfide bond:5,,,,,Evidence at transcript level,venom_tissue,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
Q5W958,8724,Peptidase S1 family,253,,,Glycoprotein,Disulfide bond:6; Glycosylation:2,,,,,Evidence at transcript level,both,Bothrops jararaca,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops jararaca,terrestrial,terrestrial
Q9I8W9,36307,Peptidase S1 family,260,,,Glycoprotein; Zymogen,Disulfide bond:6; Glycosylation:4,,,,,Evidence at transcript level,both,Deinagkistrodon acutus,Chordata,Lepidosauria,Squamata,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,terrestrial,terrestrial
P0C5B4,88083,Peptidase S1 family,260,,,Glycoprotein; Zymogen,Disulfide bond:6; Glycosylation:2,,,,,Evidence at transcript level,both,Gloydius shedaoensis,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius shedaoensis,terrestrial,terrestrial
P84747,98334,,12,,,Methylation,Methylation:1,,,,,Evidence at protein level,both,Bothrops moojeni,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops moojeni,terrestrial,terrestrial
P84028,280265,Spider toxin Tx2 family,47,,,,Disulfide bond:5,,,,,Evidence at protein level,both,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
Q9PWJ0,36307,Contains 1 disintegrin domain,479,,,Zymogen,Disulfide bond:4,GO:0044421 (extracellular region part); GO:0005509 (calcium ion binding); GO:0008270 (zinc ion binding),,GO:0044421 (extracellular region part),GO:0005509 (calcium ion binding); GO:0008270 (zinc ion binding),Evidence at transcript level,both,Deinagkistrodon acutus,Chordata,Lepidosauria,Squamata,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,terrestrial,terrestrial
Q5G8B4,309814,,73,,,Amidation; Cleavage on pair of basic residues,Amidation:1,,,,,Evidence at transcript level,venom_tissue,Tityus costatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus costatus,terrestrial,terrestrial
P85024,8742,,11,,,,,GO:0009405 (pathogenesis); GO:0045777 (positive regulation of blood pressure); GO:0050880 (regulation of blood vessel size); GO:0005576 (extracellular region),GO:0009405 (pathogenesis); GO:0045777 (positive regulation of blood pressure); GO:0050880 (regulation of blood vessel size),GO:0005576 (extracellular region),,Evidence at protein level,both,Crotalus viridis viridis,Chordata,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus viridis,terrestrial,terrestrial
P30422,8723,,10,,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,,,,,Evidence at protein level,both,Bothrops insularis,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops insularis,terrestrial,terrestrial
P42717,31921,Bradykinin family,13,,,Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid:1,,,,,Evidence at protein level,venom_tissue,Parapolybia indica,Arthropoda,Insecta,Hymenoptera,Vespidae,Parapolybia,Parapolybia indica,terrestrial,terrestrial
Q8AY75,8723,Calmodulin family,156,,,,,,,,,Evidence at transcript level,venom_tissue,Bothrops insularis,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops insularis,terrestrial,terrestrial
Q9NDA6,6494,Contryphan family,63,,,Amidation; Cleavage on pair of basic residues; D-amino acid,Amidation:1; D-amino acid:1,,,,,Evidence at protein level,both,Conus textile,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,marine,marine
Q8JI40,242054,CRISP family,240,,,,Disulfide bond:8,,,,,Evidence at protein level,both,Gloydius blomhoffii,Chordata,Lepidosauria,Squamata,Viperidae,Gloydius,Gloydius blomhoffii,terrestrial,terrestrial
Q9BH86,37335,Conotoxin T superfamily,62,,,Amidation; Cleavage on pair of basic residues,Disulfide bond:2; Amidation:1,,,,,Evidence at transcript level,both,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pennaceus,marine,marine
P0C640,93154,Conotoxin T superfamily,68,,,,Disulfide bond:2,,,,,Evidence at transcript level,both,Conus pulicarius,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus pulicarius,marine,marine
