Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
P08878,Crotalus durissus terrificus (South American rattlesnake),"Phospholipase A2 family, Group II subfamily, D49 sub-subfamily",138,,"In class 2 heterodimer CA2-CBa2, LD(50) is 420 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 2 heterodimer CA2-CBa2, LD(50) is 650 ug/kg by subcutaneous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 2 heterodimer CA3-CBa2, LD(50) is 450 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA2-CBb, LD(50) is 110 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA3-CBb, LD(50) is 95 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA2-CBc, LD(50) is 80 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA3-CBc, LD(50) is 110 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA2-CBd, LD(50) is 70 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA2-CBd, LD(50) is 150 ug/kg by subcutaneous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 1 heterodimer CA3-CBd, LD(50) is 90 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.",
Q9DGB9,Crotalus atrox (Western diamondback rattlesnake),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIc sub-subfamily",610,,LD(50) is 0.3 ug/ml against vascular endothelial cells in culture. {ECO:0000269|PubMed:9196035}.,The N-terminus is blocked
P83257,Pireneitega luctuosa (Tangled nest spider) (Paracoelotes luctuosus),"Beta/delta-agatoxin family, Aga-3 subfamily",37,,LD(50) is 24.2 ng/mg body weight of lepidoptera larvae. {ECO:0000269|PubMed:15683238}.,
P56633,Conus purpurascens (Purple cone),Conotoxin O1 superfamily,72,,,This toxin is not amidated at the C-terminal Val residue
O57413,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),"Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily",481,,,The N-terminus is blocked
P24027,Crotalus durissus terrificus (South American rattlesnake),"Phospholipase A2 family, Group II subfamily, D49 sub-subfamily",138,,"In monomer CBa2, LD(50) is 700 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In monomer CBa2, LD(50) is >3000 ug/kg by subcutaneous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 2 heterodimer CA2-CBa2, LD(50) is 420 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 2 heterodimer CA2-CBa2, LD(50) is 650 ug/kg by subcutaneous injection into mice. {ECO:0000269|PubMed:8513799}.; In class 2 heterodimer CA3-CBa2, LD(50) is 450 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:8513799}.",
P56637,Hottentotta judaicus (Black scorpion) (Buthotus judaicus),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily",94,,Both variants Bjxtr-IT.56E and Bjxtr-IT.56K have an PD(50) of 9.6 ng/100 mg of body weight of blowfly larvae. {ECO:0000269|PubMed:10026198}.,
Q90ZI3,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIc sub-subfamily",612,,LD(50) is 0.2 ug/mL on cultured vascular endothelial cells. {ECO:0000269|PubMed:11389737}.,
P0C7B0,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halys brevicaudus),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIb sub-subfamily",610,,,"In the absence of calcium ions, is autocatalytically degraded giving 29 (p29K) and 45 kDa (p45K) fragments. In presence of calcium ions, the p45K is not detected (PubMed:10920250)"
P59868,Pandinus imperator (Emperor scorpion),Scorpion calcine family,33,,,
X5IWS1,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin O1 superfamily,82,,,"Cys-71 is a key residue that tethers to the channel by covalent attachment, leading to nearly irreversible inhibition (k(off) very low) (PubMed:24497506, PubMed:26817840). In order to determine the solution structure without dimerization, this residue was mutated to Cys"
P83255,Macrovipera lebetina (Levantine viper) (Vipera lebetina),"Venom metalloproteinase (M12B) family, P-I subfamily",202,,,Glycosylated
Q90282,Crotalus atrox (Western diamondback rattlesnake),"Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIb sub-subfamily",609,,,The N-terminus is blocked.
Q9W7K1,Pseudonaja textilis (Eastern brown snake),"Snake three-finger toxin family, Short-chain subfamily, Type III alpha-neurotoxin sub-subfamily",79,,LD(50) is 1 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:10518793}.,
Q9W7J7,Pseudonaja textilis (Eastern brown snake),"Snake three-finger toxin family, Short-chain subfamily, Type III alpha-neurotoxin sub-subfamily",79,,LD(50) is 1 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:10518793}.,
Q98957,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P79810,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P85429,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",15,fragment,LD(50) is 2.17 mg/kg by intraperitoneal injection in mice. {ECO:0000269|PubMed:18438973}.,
P60304,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P01467,Naja mossambica (Mozambique spitting cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 0.83 mg/kg by intravenous injection.,
P01451,Naja oxiana (Central Asian cobra) (Oxus cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,,
O93471,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
Q9PST4,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P01442,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,LD(50) is 2.1 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:849468}.; LD(50) is 56 mg/kg by subcutaneous injection into mice. {ECO:0000269|PubMed:849468}.,
P01441,Naja oxiana (Central Asian cobra) (Oxus cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,,
Q98962,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P01446,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) of the glycosylated form is 13.4 +/- 0.7 into crickets (G.assimilis). {ECO:0000269|PubMed:15128311}.; LD(50) of the non-glycosylated form is 5.8 +/- 0.3 nmol/g into crickets (G.assimilis). {ECO:0000269|PubMed:15128311}.,May be regulated by glycosylation
P60302,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P60303,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,LD(50) is 1.48 mg/kg by intraperitoneal injection.,
O73857,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P25517,Naja mossambica (Mozambique spitting cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 2.85 mg/kg by intravenous injection. {ECO:0000269|PubMed:6353198}.,
Q98965,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",82,,,
P86382,Naja naja (Indian cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,,
Q91124,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P01454,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 4.9 mg/kg by intravenous injection. {ECO:0000269|PubMed:1017800}.,
P01453,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 4.14 mg/kg by intravenous injection. {ECO:0000269|PubMed:1017800}.,
P60307,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,,
P24776,Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus),"Snake three-finger toxin family, Short-chain subfamily, Type IB cytotoxin sub-subfamily",61,,LD(50) is 3.8 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:404150}.,
Q2VBN5,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily, Beta-cardiotoxin sub-subfamily",84,,,
Q53B49,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",86,,,
P81030,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",66,,,
Q9PSN1,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",66,,,
P80495,Dendroaspis polylepis polylepis (Black mamba),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",65,,,
P01409,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily",63,,,
Q800Y3,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Short-chain subfamily, Orphan group IX sub-subfamily",86,,,
P18329,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Orphan group X sub-subfamily",80,,LD(50) is 40 +/- 3 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:7397227}.,
P01405,Dendroaspis viridis (Western green mamba),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XI sub-subfamily",60,,LD(50) is >3.3 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4442418}.,
Q9PS09,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XI sub-subfamily",30,fragment,,Contains 4 disulfide bonds
P19004,Aspidelaps scutatus (Shield-nose snake),"Snake three-finger toxin family, Short-chain subfamily, Orphan group XIII sub-subfamily",64,,LD(50) is 9.4 mg/kg by intravenous injection. {ECO:0000269|PubMed:3356299}.,
Q9PRQ3,Micrurus nigrocinctus (Central American coral snake) (Gargantilla),"Snake three-finger toxin family, Short-chain subfamily",28,fragment,,
A5X2W8,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii),"Snake three-finger toxin family, Short-chain subfamily",89,,,
F5CPD3,Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris),"Snake three-finger toxin family, Short-chain subfamily",85,,,
Q53B47,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily",78,,LD(50) is 250 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,
P24742,Calliophis bivirgata (Blue Malaysian coral snake) (Maticora bivirgata),"Snake three-finger toxin family, Short-chain subfamily",41,fragment,,
Q2VBP1,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily",78,,,
Q2VBN9,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily",78,,,
P0CAR7,Micrurus pyrrhocryptus (Coral snake),"Snake three-finger toxin family, Short-chain subfamily",43,fragment,,
P86094,Micrurus surinamensis (Surinam coral snake),"Snake three-finger toxin family, Short-chain subfamily",58,,,
C0JAT4,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAT5,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAU2,Loxosceles spadicea (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
P0CE80,Loxosceles intermedia (Brown spider),"Arthropod phospholipase D family, Class II subfamily",306,,,
C0JAQ8,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAR0,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",271,fragment,,
C0JAW4,Loxosceles deserta (Desert recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAW5,Loxosceles deserta (Desert recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAW0,Loxosceles arizonica (Arizona brown spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAU7,Loxosceles sabina (Tucson recluse spider),"Arthropod phospholipase D family, Class II subfamily",276,fragment,,
Q4ZFU2,Loxosceles arizonica (Arizona brown spider),"Arthropod phospholipase D family, Class II subfamily",309,fragment,PD(50) is 2.27 +-0.43 ug/g when injected into cricket (Acheta domestica) (observed at 60 minutes). {ECO:0000269|PubMed:22561243}.; LD(50) is 2.27 +-0.43 ug/g when injected into cricket (Acheta domestica) (observed at 24 hours). {ECO:0000269|PubMed:22561243}.,
C0JAU3,Loxosceles apachea (Apache recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAX3,Loxosceles deserta (Desert recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAX2,Loxosceles deserta (Desert recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAZ7,Loxosceles variegata (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",272,fragment,,
C0JB02,Loxosceles rufescens (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JB04,Loxosceles rufescens (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
Q1W695,Loxosceles intermedia (Brown spider),"Arthropod phospholipase D family, Class II subfamily",305,,,
C0JB13,Loxosceles laeta (South American recluse spider) (Scytodes laeta),"Arthropod phospholipase D family, Class I subfamily",278,fragment,,
C0JB19,Loxosceles amazonica (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",275,fragment,,
C0JB17,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",275,fragment,,
C9EIC7,Urticina crassicornis (Mottled anemone) (Tealia crassicornis),"Actinoporin family, Sea anemone subfamily",221,,,
P0DL56,Phyllodiscus semoni (Night anemone),"Actinoporin family, Sea anemone subfamily",226,,,
P0C1H2,Actinia equina (Beadlet anemone),"Actinoporin family, Sea anemone subfamily",20,fragment,LD(50) is 83 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:2903587}.,
P0DMX2,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),"Actinoporin family, Sea anemone subfamily",177,,,
P0C1H1,Actinia equina (Beadlet anemone),"Actinoporin family, Sea anemone subfamily",20,fragment,LD(50) is 23 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:2903587}.,
P0DMX4,Stichodactyla mertensii (Merten's carpet sea anemone),"Actinoporin family, Sea anemone subfamily",40,fragment,,
P84027,Ancylometes sp. (South American fishing spider),"Omega-agatoxin superfamily, Type II/III omega-agatoxin family",37,fragment,,
P0C603,Boiga dendrophila (Mangrove snake) (Gold-ringed cat snake),"Snake three-finger toxin family, Non-conventional subfamily, Boigatoxin sub-subfamily",47,fragment,,
A7X3S0,Trimorphodon biscutatus (Western lyre snake),"Snake three-finger toxin family, Non-conventional subfamily, Boigatoxin sub-subfamily",111,,,
Q6IZ95,Bungarus candidus (Malayan krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
P29179,Naja naja (Indian cobra),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",62,,,
C1IC49,Walterinnesia aegyptia (Desert black snake),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,LD(50) is 0.2 mg/kg by intraperitoneal injection in mice. {ECO:0000269|PubMed:960110}.,
P29182,Naja naja (Indian cobra),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",65,,,
P25680,Naja nivea (Cape cobra) (Coluber niveus),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",65,,LD(50) is 16 mg/kg by intravenous injection. {ECO:0000269|PubMed:7380387}.,
P01401,Naja haje haje (Egyptian cobra),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",65,,LD(50) is 13.4 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:710433}.,
P60814,Naja atra (Chinese cobra),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,
P82935,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group II sub-subfamily",86,,,The disulfide bond Cys-27-Cys-32 is probably not needed for efficient interaction of the toxin with the target receptor (Torpedo muscle or alpha-7/CHRNA7 nAChR)
P58370,Micrurus corallinus (Brazilian coral snake),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group IV sub-subfamily",86,,,
Q9YGH9,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group V sub-subfamily",89,,,
Q9YGH0,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group XVII sub-subfamily",103,,,
Q9PW19,Bungarus multicinctus (Many-banded krait),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group XVII sub-subfamily",103,,,
C0HJT4,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Non-conventional subfamily, Orphan group XIX sub-subfamily",63,,,Contains 4 disulfide bonds
C0HJR1,Micrurus mipartitus (Red-tailed coral snake),"Snake three-finger toxin family, Non-conventional subfamily",64,,LD(50) is 0.013-0.027 mg/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:25675485}.,
P86096,Micrurus surinamensis (Surinam coral snake),"Snake three-finger toxin family, Non-conventional subfamily",64,,,
P86098,Micrurus surinamensis (Surinam coral snake),"Snake three-finger toxin family, Non-conventional subfamily",64,,,
Q7T2I1,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",82,fragment,,
P01434,Acanthophis antarcticus (Common death adder),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",62,,LD(50) is 0.08 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7337702}.,
P10808,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",64,,,
A6MFK6,Demansia vestigiata (Lesser black whip snake) (Demansia atra),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",84,,,
P25494,Hydrophis cyanocinctus (Asian annulated sea snake) (Leioselasma cyanocincta),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",60,,,
P68413,Hydrophis ornatus (Ornate reef seasnake),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",60,,,
O57327,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
P25495,Laticauda crockeri (Crocker's sea krait) (Rennell island sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",62,,,
P82849,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",62,,,
P10459,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,,
P60770,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",83,,LD(50) is 0.09 mg/kg by subcutaneous injection.,
P80958,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",82,,LD(50) is 0.18 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:12777767}.,
P10458,Laticauda crockeri (Crocker's sea krait) (Rennell island sea krait),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",62,,,
P0CAR1,Micrurus pyrrhocryptus (Coral snake),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",60,,,
P0CAR5,Micrurus pyrrhocryptus (Coral snake),"Snake three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily",27,fragment,,
Q98956,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
Q98958,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P0CH80,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 2.5 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:20595038}.,
P86538,Naja naja (Indian cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,,
Q9PST3,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
Q9DGH9,Naja kaouthia (Monocled cobra) (Naja siamensis),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P01463,Naja nivea (Cape cobra) (Coluber niveus),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 1.5 mg/kg by subcutaneous injection into mice. {ECO:0000269|PubMed:823968}.,
Q98960,Naja atra (Chinese cobra),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",81,,,
P01459,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),"Snake three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily",60,,LD(50) is 2.98 mg/kg by intravenous injection. {ECO:0000269|PubMed:1278155}.,
Q2VBN7,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily, Beta-cardiotoxin sub-subfamily",84,,,
Q69CK0,Ophiophagus hannah (King cobra) (Naja hannah),"Snake three-finger toxin family, Short-chain subfamily, Beta-cardiotoxin sub-subfamily",84,,,
P0C1Z0,Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps),"Snake three-finger toxin family, Short-chain subfamily, Acn-esterase inhibitor sub-subfamily",61,,LD(50) is >20 mg/kg by intravenous injection.,
C0JAT9,Loxosceles spadicea (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
C0JAT6,Loxosceles hirsuta (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
P0CE81,Loxosceles intermedia (Brown spider),"Arthropod phospholipase D family, Class II subfamily",306,,,
C0JAS6,Loxosceles spadicea (Recluse spider),"Arthropod phospholipase D family, Class II subfamily",273,fragment,,
