Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat
P01393,8619,Snake three-finger toxin family,72,,LD(50) is 0.38 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4204636}.,,Dendroaspis jamesoni kaimosae,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis jamesoni,terrestrial
P01396,8620,Snake three-finger toxin family,72,,LD(50) is 0.12 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5033401}.,,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
P01394,8621,Snake three-finger toxin family,72,,LD(50) is 0.9 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4855008}.,Neurotoxin 4.7.3 differs from 4.9.3 only in that Trp-26 has undergone partial photooxidation.,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial
Q8UW29,8781,Snake three-finger toxin family,92,,,,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Hydrophiidae,Hydrophis,Hydrophis hardwickii,marine
P01380,355677,Snake three-finger toxin family,70,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Hydrophiidae,Hydrophis,Hydrophis stokesii,marine
P0C8R6,8628,Snake three-finger toxin family,69,,,,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine
P01379,8631,Snake three-finger toxin family,87,,LD(50) is 1.24 mg/kg by intramuscular injection. {ECO:0000269|PubMed:4616684}.,,Laticauda semifasciata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda semifasciata,marine
P01389,263737,Snake three-finger toxin family,72,,LD(50) is 0.067 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1183429}.,,Naja anchietae,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja anchietae,terrestrial
P25674,8642,Snake three-finger toxin family,71,,LD(50) is 0.11 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,,Naja haje haje,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja haje,terrestrial
P01391,8649,Snake three-finger toxin family,71,,,"In homodimer alpha-cobratoxin, selective reduction of Cys(26)- Cys(30) in one subunit does not affect the activity against the alpha- 7/CHRNA7 nAChR, whereas its reduction in both subunits almost prevents alpha-7/CHRNA7 nAChR recognition. On the contrary, reduction of one or both Cys(26)-Cys(30) disulfide bonds in the homodimer considerably potentiates inhibition of the alpha-3-beta-2/CHRNA3-CHRNB2 nAChR by the toxin. {ECO:0000269|PubMed:22223648}.",Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial
P01383,8643,Snake three-finger toxin family,71,,LD(50) is 1.5 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:4830190}.,,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial
P25668,35670,Snake three-finger toxin family,71,,LD(50) is 0.15 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5125232}.,,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P01390,8655,Snake three-finger toxin family,71,,LD(50) is 0.076 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5167022}.,,Naja nivea,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja nivea,terrestrial
P01382,8657,Snake three-finger toxin family,73,,LD(50) is 0.56 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:4411932}.,,Naja oxiana,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja oxiana,terrestrial
P01384,70142,Snake three-finger toxin family,94,,LD(50) is 0.125 mg/kg by intravenous injection. {ECO:0000269|PubMed:497256}.,,Notechis scutatus scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Notechis,Notechis scutatus,terrestrial
P01387,8665,Snake three-finger toxin family,73,,LD(50) is 0.3 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A8HDK7,111177,Snake three-finger toxin family,92,,,,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
A8HDK9,8667,Snake three-finger toxin family,92,,,,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial
A8HDK6,8673,Snake three-finger toxin family,89,,,,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial
A8HDK4,100989,Snake three-finger toxin family,93,,,,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial
F8J2F2,66186,Snake three-finger toxin family,88,,,,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
P34074,8610,Snake three-finger toxin family,71,,LD(50) is 0.086 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,,Naja annulata annulata,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulata,terrestrial
Q2VBP5,8665,Snake three-finger toxin family,93,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q2VBP4,8665,Snake three-finger toxin family,91,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
B2BRQ6,471292,Snake three-finger toxin family,107,,,,Austrelaps labialis,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps labialis,terrestrial
C5ILC5,8665,Snake three-finger toxin family,93,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P0DKW9,8605,Snake three-finger toxin family,79,,LD(50) is between 0.05 and 0.20 mg/kg by intraperitoneal injection into mice. These data should be viewed cautiously since only a few mice have been injected due to the low amount of toxin available. {ECO:0000269|PubMed:9133710}.,,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
A8N285,8665,Snake three-finger toxin family,93,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A8S6B0,29156,Snake three-finger toxin family,92,,,,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial
A1IVR9,92438,Snake three-finger toxin family,75,fragment,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
A6MFK5,412038,Snake three-finger toxin family,88,,,,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial
P01397,8620,Snake three-finger toxin family,72,,,,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
P01395,8621,Snake three-finger toxin family,73,,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V. {ECO:0000269|PubMed:976267}.",,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial
A3FM53,8781,Snake three-finger toxin family,93,,,,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Hydrophiidae,Hydrophis,Hydrophis hardwickii,marine
P01381,355677,Snake three-finger toxin family,72,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Hydrophiidae,Hydrophis,Hydrophis stokesii,marine
P01388,8643,Snake three-finger toxin family,71,,,,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial
P25669,35670,Snake three-finger toxin family,71,,,,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P01386,8665,Snake three-finger toxin family,73,,LD(50) is 0.35 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A8HDK8,111177,Snake three-finger toxin family,92,,,,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
F8J2E6,66186,Snake three-finger toxin family,88,,,,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
Q53B55,8665,Snake three-finger toxin family,94,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B53,8665,Snake three-finger toxin family,90,fragment,LD(50) is >300 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B59,8665,Snake three-finger toxin family,91,,LD(50) is 110 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q2VBP3,8665,Snake three-finger toxin family,94,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A1IVR7,92438,Snake three-finger toxin family,75,fragment,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
P25667,8620,Snake three-finger toxin family,72,,LD(50) is 0.4 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
Q8UW28,8781,Snake three-finger toxin family,92,,,,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Hydrophiidae,Hydrophis,Hydrophis hardwickii,marine
P0DQQ1,8643,Snake three-finger toxin family,72,,,,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial
P25671,35670,Snake three-finger toxin family,71,,LD(50) is 0.10 to 0.15 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P07526,8665,Snake three-finger toxin family,73,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
F8J2D7,66186,Snake three-finger toxin family,108,,,,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
F8J2E5,66186,Snake three-finger toxin family,92,,,,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
C0HJD7,8620,Snake three-finger toxin family,72,,,"Amidation does not significantly affect toxin selectivity, since the activity profile and binding data are reminiscent of classical long-chain 3-finger toxins with a free carboxyl termini. {ECO:0000269|PubMed:24867092}.",Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
P0DQQ2,8643,Snake three-finger toxin family,71,,,,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial
P25672,35670,Snake three-finger toxin family,71,,LD(50) is 0.22 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:7326259}.,,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P80156,8665,Snake three-finger toxin family,72,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B58,8665,Snake three-finger toxin family,93,,LD(50) is 120 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B57,8665,Snake three-finger toxin family,91,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B56,8665,Snake three-finger toxin family,91,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P25673,35670,Snake three-finger toxin family,71,,,,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P80965,8665,Snake three-finger toxin family,72,,LD(50) is 0.25 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:9163519}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P82662,8665,Snake three-finger toxin family,91,,LD(50) is 100 ug/kg by intraperitoneal injection into mice.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
F8J2E1,66186,Snake three-finger toxin family,92,,,,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
F8J2E2,66186,Snake three-finger toxin family,92,,,,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
C0HM09,35670,Snake three-finger toxin family,71,,,,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
O42257,33626,Snake three-finger toxin family,90,,LD(50) is 0.14 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:14572646}.,,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial
P86522,8605,Snake three-finger toxin family,35,fragment,,,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
Q7T3J2,92438,Snake three-finger toxin family,95,,LD(50) is 230 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:14505938}.,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
D2N116,132961,Snake three-finger toxin family,76,fragment,,,Bungarus caeruleus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus caeruleus,terrestrial
P0C8R7,8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine
P0C8R8,8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine
P13495,8673,Snake three-finger toxin family,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:3595609}.,,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial
P34073,8605,Snake three-finger toxin family,74,,,,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
P14612,8670,Snake three-finger toxin family,89,,,,Pseudechis australis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis australis,terrestrial
Q7T2I3,8630,Snake three-finger toxin family,87,fragment,,,Laticauda laticaudata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda laticaudata,marine
P0CJ35,8667,Snake three-finger toxin family,28,fragment,LD(50) of the heterotrimer is 50-100 ug/kg to mice. {ECO:0000269|PubMed:1485334}.,,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial
P85140,92438,Snake three-finger toxin family,73,,LD(50) is 0.16 ug/g by intravenous injection into mice. {ECO:0000269|PubMed:19728988}.,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
A7X4Q3,111177,Snake three-finger toxin family,92,,,,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
A7X4R0,111177,Snake three-finger toxin family,92,,,,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
Q9W7J5,8673,Snake three-finger toxin family,103,,,,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial
Q2VBP8,8665,Snake three-finger toxin family,94,,LD(50) is 0.51 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:16689684}.,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q2VBP6,8665,Snake three-finger toxin family,94,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P15816,8616,Snake three-finger toxin family,87,,,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P15817,8616,Snake three-finger toxin family,87,,,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
O12961,8616,Snake three-finger toxin family,87,,,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
O12962,8616,Snake three-finger toxin family,87,,,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
Q9W729,8616,Snake three-finger toxin family,87,,,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
Q8AY56,92438,Snake three-finger toxin family,87,,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q8AY55,92438,Snake three-finger toxin family,87,,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
P01398,8616,Snake three-finger toxin family,87,,,,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P15815,8615,Snake three-finger toxin family,66,,,,Bungarus flaviceps flaviceps,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus flaviceps,terrestrial
A0A346CIB2,1899469,Snake three-finger toxin family,107,,LD(50) is about 4 mg/kg by intraperitoneal injection in mice. {ECO:0000269|PubMed:30068680}.,,Spilotes sulphureus,Chordata,Lepidosauria,Squamata,Colubridae,Spilotes,Spilotes sulphureus,terrestrial
A0A346CIB0,1899469,Snake three-finger toxin family,86,,,,Spilotes sulphureus,Chordata,Lepidosauria,Squamata,Colubridae,Spilotes,Spilotes sulphureus,terrestrial
A7X3S0,338818,Snake three-finger toxin family,111,,,,Trimorphodon biscutatus,Chordata,Lepidosauria,Squamata,Colubridae,Trimorphodon,Trimorphodon biscutatus,terrestrial
A7X3S2,338818,Snake three-finger toxin family,111,,,,Trimorphodon biscutatus,Chordata,Lepidosauria,Squamata,Colubridae,Trimorphodon,Trimorphodon biscutatus,terrestrial
A7X3V0,338837,Snake three-finger toxin family,111,,,,Telescopus dhara,Chordata,Lepidosauria,Squamata,Colubridae,Telescopus,Telescopus dhara,terrestrial
P0C603,46286,Snake three-finger toxin family,47,fragment,,,Boiga dendrophila,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga dendrophila,terrestrial
A0S864,92519,Snake three-finger toxin family,109,,LD(50) is 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.,,Boiga irregularis,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga irregularis,terrestrial
A0A346CIA0,1899469,Snake three-finger toxin family,111,,LD(50) is 0.22 mg/kg by intraperitoneal injection in lizards (tested on geckos). {ECO:0000269|PubMed:30068680}.,,Spilotes sulphureus,Chordata,Lepidosauria,Squamata,Colubridae,Spilotes,Spilotes sulphureus,terrestrial
A0S865,92519,Snake three-finger toxin family,111,,LD(50) is 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.,,Boiga irregularis,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga irregularis,terrestrial
P83490,201391,Snake three-finger toxin family,77,,,,Coelognathus radiatus,Chordata,Lepidosauria,Squamata,Colubridae,Coelognathus,Coelognathus radiatus,terrestrial
A0A346CIB3,1899469,Snake three-finger toxin family,111,,LD(50) is 0.22 mg/kg by intraperitoneal injection in lizards (tested on geckos). {ECO:0000269|PubMed:30068680}.,,Spilotes sulphureus,Chordata,Lepidosauria,Squamata,Colubridae,Spilotes,Spilotes sulphureus,terrestrial
Q06ZW0,46286,Snake three-finger toxin family,111,,,,Boiga dendrophila,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga dendrophila,terrestrial
C0HJD3,121355,Snake three-finger toxin family,74,,LD(50) is 0.28 ug/g by intraperitoneal injection in A.carolinensis and 0.6 ug/g in H.frenatus. {ECO:0000269|PubMed:23851011}.,Contains 5 disulfide bonds. {ECO:0000269|PubMed:23851011}.,Oxybelis fulgidus,Chordata,Lepidosauria,Squamata,Colubridae,Oxybelis,Oxybelis fulgidus,terrestrial
Q8AY51,92438,Snake three-finger toxin family,86,,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q9YGI2,8656,Snake three-finger toxin family,86,,,,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial
C0HJW9,8649,Snake three-finger toxin family,33,fragment,,,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial
Q8AY50,92438,Snake three-finger toxin family,86,,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
C6JUP2,54390,Snake three-finger toxin family,88,,,,Micrurus corallinus,Chordata,Lepidosauria,Squamata,Elapidae,Micrurus,Micrurus corallinus,terrestrial
Q9YGI4,8656,Snake three-finger toxin family,86,,,,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial
Q8AY49,92438,Snake three-finger toxin family,86,,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q9YGI1,8656,Snake three-finger toxin family,86,,,,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial
Q6IZ95,92438,Snake three-finger toxin family,86,,,,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q2VBN2,8665,Snake three-finger toxin family,86,,,,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
