Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Protein existence,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat
P01391,8649,Snake three-finger toxin family,71,,,"The disulfide bond Cys26-Cys30 is not necessary for toxin activity, since reduction and alkylation of this bond does not decrease the inhibitory activity against alpha-7 nAChR, but surprisingly enhances the inhibitory activity against alpha-3- beta-2. {ECO:0000269|PubMed:22223648}.",1: Evidence at protein level;,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial
P01383,8643,Snake three-finger toxin family,71,,LD(50) is 1.5 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4830190}.,,1: Evidence at protein level;,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial
P25668,35670,Snake three-finger toxin family,71,,LD(50) is 0.15 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5125232}.,,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P01390,8655,Snake three-finger toxin family,71,,LD(50) is 0.076 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5167022}.,,1: Evidence at protein level;,Naja nivea,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja nivea,terrestrial
P01382,8657,Snake three-finger toxin family,73,,LD(50) is 0.56 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4411932}.,,1: Evidence at protein level;,Naja oxiana,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja oxiana,terrestrial
P01384,70142,Snake three-finger toxin family,94,,LD(50) is 0.125 mg/kg by intravenous injection. {ECO:0000269|PubMed:497256}.,,1: Evidence at protein level;,Notechis scutatus scutatus,Chordata,Lepidosauria,Squamata,Elapidae,Notechis,Notechis scutatus,terrestrial
P01387,8665,Snake three-finger toxin family,73,,LD(50) is 0.3 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A8HDK7,111177,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
A8HDK9,8667,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial
A8HDK6,8673,Snake three-finger toxin family,89,,,,3: Inferred from homology;,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial
A8HDK4,100989,Snake three-finger toxin family,93,,,,3: Inferred from homology;,Tropidechis carinatus,Chordata,Lepidosauria,Squamata,Elapidae,Tropidechis,Tropidechis carinatus,terrestrial
F8J2F2,66186,Snake three-finger toxin family,88,,,,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
P34074,8610,Snake three-finger toxin family,71,,LD(50) is 0.086 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,,1: Evidence at protein level;,Naja annulata annulata,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja annulata,terrestrial
Q2VBP5,8665,Snake three-finger toxin family,93,,,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q2VBP4,8665,Snake three-finger toxin family,91,,,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
B2BRQ6,471292,Snake three-finger toxin family,107,,,,3: Inferred from homology;,Austrelaps labialis,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps labialis,terrestrial
C5ILC5,8665,Snake three-finger toxin family,93,,,,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P0DKW9,8605,Snake three-finger toxin family,79,,LD(50) is between 0.05 and 0.20 mg/kg by intraperitoneal injection into mice. These data should be viewed cautiously since only a few mice have been injected due to the low amount of toxin available. {ECO:0000269|PubMed:9133710}.,,1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
A8N285,8665,Snake three-finger toxin family,93,,,,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A8S6B0,29156,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Austrelaps superbus,Chordata,Lepidosauria,Squamata,Elapidae,Austrelaps,Austrelaps superbus,terrestrial
A1IVR9,92438,Snake three-finger toxin family,75,fragment,,,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
A6MFK5,412038,Snake three-finger toxin family,88,,,,1: Evidence at protein level;,Demansia vestigiata,Chordata,Lepidosauria,Squamata,Elapidae,Demansia,Demansia vestigiata,terrestrial
P01397,8620,Snake three-finger toxin family,72,,,,1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
P01395,8621,Snake three-finger toxin family,73,,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V. {ECO:0000269|PubMed:976267}.",,1: Evidence at protein level;,Dendroaspis viridis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis viridis,terrestrial
A3FM53,8781,Snake three-finger toxin family,93,,,,3: Inferred from homology;,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine
P01381,355677,Snake three-finger toxin family,72,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,,1: Evidence at protein level;,Hydrophis stokesii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis stokesii,marine
P01388,8643,Snake three-finger toxin family,71,,,,1: Evidence at protein level;,Naja melanoleuca,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja melanoleuca,terrestrial
P25669,35670,Snake three-finger toxin family,71,,,,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P01386,8665,Snake three-finger toxin family,73,,LD(50) is 0.35 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A8HDK8,111177,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
F8J2E6,66186,Snake three-finger toxin family,88,,,,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
Q53B55,8665,Snake three-finger toxin family,94,,,,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B53,8665,Snake three-finger toxin family,90,fragment,LD(50) is >300 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B59,8665,Snake three-finger toxin family,91,,LD(50) is 110 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q2VBP3,8665,Snake three-finger toxin family,94,,,,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
A1IVR7,92438,Snake three-finger toxin family,75,fragment,,,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
P25667,8620,Snake three-finger toxin family,72,,LD(50) is 0.4 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,,1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
Q8UW28,8781,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Hydrophis hardwickii,Chordata,Lepidosauria,Squamata,Elapidae,Hydrophis,Hydrophis hardwickii,marine
P25671,35670,Snake three-finger toxin family,71,,LD(50) is 0.10 to 0.15 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P07526,8665,Snake three-finger toxin family,73,,,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
F8J2D7,66186,Snake three-finger toxin family,108,,,,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
F8J2E5,66186,Snake three-finger toxin family,92,,,,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
C0HJD7,8620,Snake three-finger toxin family,72,,,"Amidation does not significantly affect toxin selectivity, since the activity profile and binding data are reminiscent of classical long-chain 3-finger toxins with a free carboxyl termini. {ECO:0000269|PubMed:24867092}.",1: Evidence at protein level;,Dendraspis polylepis polylepis,Chordata,Lepidosauria,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,terrestrial
P25672,35670,Snake three-finger toxin family,71,,LD(50) is 0.22 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:7326259}.,,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P80156,8665,Snake three-finger toxin family,72,,,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B58,8665,Snake three-finger toxin family,93,,LD(50) is 120 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B57,8665,Snake three-finger toxin family,91,,,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q53B56,8665,Snake three-finger toxin family,91,,,,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P25673,35670,Snake three-finger toxin family,71,,,,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
P80965,8665,Snake three-finger toxin family,72,,Lethal dose is 0.25 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:9163519}.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P82662,8665,Snake three-finger toxin family,91,,LD(50) is 100 ug/kg by intraperitoneal injection into mice.,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
F8J2E1,66186,Snake three-finger toxin family,92,,,,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
F8J2E2,66186,Snake three-finger toxin family,92,,,,1: Evidence at protein level;,Drysdalia coronoides,Chordata,Lepidosauria,Squamata,Elapidae,Drysdalia,Drysdalia coronoides,terrestrial
O42257,33626,Snake three-finger toxin family,90,,LD(50) is 0.14 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:14572646}.,,1: Evidence at protein level;,Naja sputatrix,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja sputatrix,terrestrial
P86522,8605,Snake three-finger toxin family,35,fragment,,,1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
Q7T3J2,92438,Snake three-finger toxin family,95,,LD(50) is 0.23 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:14505938}.,,1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
D2N116,132961,Snake three-finger toxin family,76,fragment,,,3: Inferred from homology;,Bungarus caeruleus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus caeruleus,terrestrial
P0C8R7,8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,,1: Evidence at protein level;,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine
P0C8R8,8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,,1: Evidence at protein level;,Laticauda colubrina,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda colubrina,marine
P13495,8673,Snake three-finger toxin family,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:3595609}.,,1: Evidence at protein level;,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial
P34073,8605,Snake three-finger toxin family,74,,,,1: Evidence at protein level;,Acanthophis antarcticus,Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,terrestrial
P14612,8670,Snake three-finger toxin family,89,,,,1: Evidence at protein level;,Pseudechis australis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudechis,Pseudechis australis,terrestrial
Q7T2I3,8630,Snake three-finger toxin family,87,fragment,,,3: Inferred from homology;,Laticauda laticaudata,Chordata,Lepidosauria,Squamata,Elapidae,Laticauda,Laticauda laticaudata,marine
P0CJ35,8667,Snake three-finger toxin family,28,fragment,LD(50) of the heterotrimer is 50-100 ug/kg to mice. {ECO:0000269|PubMed:1485334}.,,1: Evidence at protein level;,Oxyuranus scutellatus scutellatus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,terrestrial
P85140,92438,Snake three-finger toxin family,73,,LD(50) is 0.16 ug/g by intravenous injection into mice. {ECO:0000269|PubMed:19728988}.,,1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
A7X4Q3,111177,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
A7X4R0,111177,Snake three-finger toxin family,92,,,,3: Inferred from homology;,Oxyuranus microlepidotus,Chordata,Lepidosauria,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,terrestrial
Q9W7J5,8673,Snake three-finger toxin family,103,,,,1: Evidence at protein level;,Pseudonaja textilis,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,terrestrial
Q2VBP8,8665,Snake three-finger toxin family,94,,LD(50) is 0.51 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:16689684}.,,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
Q2VBP6,8665,Snake three-finger toxin family,94,,,,3: Inferred from homology;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P15816,8616,Snake three-finger toxin family,87,,,,1: Evidence at protein level;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P15817,8616,Snake three-finger toxin family,87,,,,1: Evidence at protein level;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
O12961,8616,Snake three-finger toxin family,87,,,,3: Inferred from homology;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
O12962,8616,Snake three-finger toxin family,87,,,,3: Inferred from homology;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
Q9W729,8616,Snake three-finger toxin family,87,,,,3: Inferred from homology;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
Q8AY56,92438,Snake three-finger toxin family,87,,,,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q8AY55,92438,Snake three-finger toxin family,87,,,,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
P01398,8616,Snake three-finger toxin family,87,,,,1: Evidence at protein level;,Bungarus multicinctus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus multicinctus,terrestrial
P15815,8615,Snake three-finger toxin family,66,,,,1: Evidence at protein level;,Bungarus flaviceps flaviceps,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus flaviceps,terrestrial
A7X3S0,338818,Snake three-finger toxin family,111,,,,3: Inferred from homology;,Trimorphodon biscutatus,Chordata,Lepidosauria,Squamata,Colubridae,Trimorphodon,Trimorphodon biscutatus,terrestrial
A7X3S2,338818,Snake three-finger toxin family,111,,,,3: Inferred from homology;,Trimorphodon biscutatus,Chordata,Lepidosauria,Squamata,Colubridae,Trimorphodon,Trimorphodon biscutatus,terrestrial
A7X3V0,338837,Snake three-finger toxin family,111,,,,3: Inferred from homology;,Telescopus dhara,Chordata,Lepidosauria,Squamata,Colubridae,Telescopus,Telescopus dhara,terrestrial
P0C603,46286,Snake three-finger toxin family,47,fragment,,,1: Evidence at protein level;,Boiga dendrophila,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga dendrophila,terrestrial
A0S864,92519,Snake three-finger toxin family,109,,"LD(50) is 0.55 mg/kg by intraperitoneal injection into geckos, and 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.",,1: Evidence at protein level;,Boiga irregularis,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga irregularis,terrestrial
A0S865,92519,Snake three-finger toxin family,111,,"LD(50) is 0.55 mg/kg by intraperitoneal injection into geckos, and 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.",,1: Evidence at protein level;,Boiga irregularis,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga irregularis,terrestrial
P83490,201391,Snake three-finger toxin family,77,,,,1: Evidence at protein level;,Coelognathus radiatus,Chordata,Lepidosauria,Squamata,Colubridae,Coelognathus,Coelognathus radiatus,terrestrial
Q06ZW0,46286,Snake three-finger toxin family,111,,,,1: Evidence at protein level;,Boiga dendrophila,Chordata,Lepidosauria,Squamata,Colubridae,Boiga,Boiga dendrophila,terrestrial
C0HJD3,121355,Snake three-finger toxin family,74,,LD(50) is 0.28 ug/g by intraperitoneal injection in A.carolinensis and 0.6 ug/g in H.frenatus. {ECO:0000269|PubMed:23851011}.,Contains 5 disulfide bonds. {ECO:0000269|PubMed:23851011}.,1: Evidence at protein level;,Oxybelis fulgidus,Chordata,Lepidosauria,Squamata,Colubridae,Oxybelis,Oxybelis fulgidus,terrestrial
Q8AY51,92438,Snake three-finger toxin family,86,,,,1: Evidence at protein level;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q9YGI2,8656,Snake three-finger toxin family,86,,,,3: Inferred from homology;,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial
C0HJW9,8649,Snake three-finger toxin family,33,fragment,,,1: Evidence at protein level;,Naja kaouthia,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja kaouthia,terrestrial
Q8AY50,92438,Snake three-finger toxin family,86,,,,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
C6JUP2,54390,Snake three-finger toxin family,88,,,,1: Evidence at protein level;,Micrurus corallinus,Chordata,Lepidosauria,Squamata,Elapidae,Micrurus,Micrurus corallinus,terrestrial
Q9YGI4,8656,Snake three-finger toxin family,86,,,,1: Evidence at protein level;,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial
Q8AY49,92438,Snake three-finger toxin family,86,,,,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q9YGI1,8656,Snake three-finger toxin family,86,,,,3: Inferred from homology;,Naja atra,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja atra,terrestrial
Q6IZ95,92438,Snake three-finger toxin family,86,,,,3: Inferred from homology;,Bungarus candidus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus candidus,terrestrial
Q2VBN2,8665,Snake three-finger toxin family,86,,,,1: Evidence at protein level;,Ophiophagus hannah,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,terrestrial
P29179,35670,Snake three-finger toxin family,62,,,,1: Evidence at protein level;,Naja naja,Chordata,Lepidosauria,Squamata,Elapidae,Naja,Naja naja,terrestrial
