Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
P59887,Buthus sindicus (Scorpion),42519,Short scorpion toxin family,36,,,DISULFID:4,,,,
P59886,Buthus sindicus (Scorpion),42519,Short scorpion toxin family,38,,,DISULFID:3,,,,
P80163,Atractaspis bibroni (Southern bibron's) (Stiletto snake),61304,Endothelin/sarafotoxin family,21,,,DISULFID:2,,,,
P81782,Bungarus candidus (Malayan krait),92438,Snake toxin family,63,,,DISULFID:5,,,,
P83661,Cyphononyx dorsalis (Spider wasp),246266,,8,,,,,GO:0005615 (extracellular space),,
P83660,Cyphononyx dorsalis (Spider wasp),246266,,16,,,,,GO:0009405 (pathogenesis); GO:0005615 (extracellular space),,
P81783,Bungarus candidus (Malayan krait),92438,Snake toxin family,87,,,DISULFID:5,,,,
P60976,Calisoga sp. (Spider),269418,,80,,PD(50) is 2.37 +/- 0.12 mg/kg by injection into the abdomen of larvae of H.virescens.,,Contains four disulfide bonds (Probable).,,,
P60977,Calisoga sp. (Spider),269418,,39,,PD(50) is 3.70 +/- 0.19 mg/kg by injection into the abdomen of larvae of H.virescens.,,Contains four disulfide bonds (Probable).,,,
P60978,Calisoga sp. (Spider),269418,,39,,,,Contains four disulfide bonds (Probable).,,,
P28878,Conus striatus (Striated cone),6493,Conotoxin A-superfamily,13,,,DISULFID:2; MOD_RES:1,,,,
P14613,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,62,,,DISULFID:4,,,,
P82849,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,62,,,DISULFID:4,,,,
Q91132,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Contains 1 NTR domain,1642,,,DISULFID:13; CARBOHYD:4; CROSSLNK:1,"First processed by the removal of 4 Arg residues by furin- type protease, forming two chains, alpha and gamma/beta precursor, linked by a disulfide bond. Probably, the cobrin cleaves the C3a- like domain and then the C3d-like domain, generating the mature cobra venom factor (CVF). This mature CVF is composed of three chains: alpha, gamma and beta. These chains are linked by a disulfide bond between the alpha and gamma chains and another one between the gamma and beta chains.",,,
Q01833,Naja naja (Indian cobra),35670,Contains 1 NTR domain,1651,,,DISULFID:13; CROSSLNK:1,"First processed by the removal of 4 Arg residues by furin- type protease, forming two chains, alpha and gamma/beta precursor, linked by a disulfide bond. Probably, the cobrin cleaves the C3a- like domain and then the C3d-like domain, generating the mature cobra venom factor (CVF). This mature CVF is composed of three chains: alpha, gamma and beta. These chains are linked by a disulfide bond between the alpha and gamma chains and another one between the gamma and beta chains.",,,
Q9TWL9,Conus magus (Magus cone),6492,Phospholipase A2 family,77,,,MOD_RES:1,,,,
Q9TWL8,Conus magus (Magus cone),6492,,42,,,,,,,
Q9XYR5,Conus geographus (Geography cone),6491,,76,,,CARBOHYD:1; MOD_RES:1,O-glycosylated. The glycosylation seems to enhance the affinity to the neurotensin receptors.,,,
P05487,Conus striatus (Striated cone),6493,Vasopressin/oxytocin family,9,,,DISULFID:1; MOD_RES:1,,,,
P58784,Conus purpurascens (Purple cone),41690,Contryphan family,63,,,DISULFID:1; MOD_RES:3,,,,
Q9NDA7,Conus textile (Cloth-of-gold cone),6494,Contryphan family,63,,,MOD_RES:3,,,,
P58785,Conus purpurascens (Purple cone),41690,Contryphan family,8,,,DISULFID:1; MOD_RES:1,,,,
Q9NDA5,Conus textile (Cloth-of-gold cone),6494,Contryphan family,63,,,MOD_RES:3,,,,
Q9NDA6,Conus textile (Cloth-of-gold cone),6494,Contryphan family,63,,,MOD_RES:2,,,,
P62903,Conus marmoreus (Marble cone),42752,Contryphan family,63,,,DISULFID:1; MOD_RES:4,,,,
P58786,Conus radiatus (Rayed cone),61198,Contryphan family,63,,,DISULFID:1; MOD_RES:4,The differences between contryphan-R and bromocontryphan lies in the state of bromination of Trp-61.,,,
P58787,Conus stercusmuscarum (Fly-specked cone),89452,Contryphan family,63,,,DISULFID:1; MOD_RES:3,,,,
P83047,Conus ventricosus (Mediterranean cone),117992,Contryphan family,9,,,DISULFID:1; MOD_RES:2,The cis isomer is the most abundant and is thus thought to be the functionally relevant conformer.,,,
P17237,Icaria sp. (Ropalidian wasp),7495,MCD family,13,,,MOD_RES:1,,,,
P17233,Vespa analis (Hornet),7449,MCD family,13,,,MOD_RES:1,,,,
P01518,Vespa crabro (European hornet),7445,MCD family,13,,,MOD_RES:1,,,,
P17235,Vespula lewisii (Yellow jacket) (Wasp),7452,MCD family,13,,,MOD_RES:1,,,,
P17232,Vespa mandarinia (Hornet),7446,MCD family,13,,,MOD_RES:1,,,,
P17236,Vespa orientalis (Oriental hornet),7447,MCD family,14,,,MOD_RES:1,,,,
P17231,Vespa tropica (Hornet),7450,MCD family,13,,,MOD_RES:1,,,,
P17234,Vespa xanthoptera (Japanese hornet),7448,MCD family,13,,,MOD_RES:1,,,,
P81991,Austrelaps superbus (Australian copperhead),29156,CRISP family,46,fragment,,,,,,
Q8UW25,Lapemis hardwickii (Hardwick's sea snake),8781,CRISP family,238,,,,,,,
Q7T1K6,Naja atra (Chinese cobra),8656,CRISP family,239,,,,,,,
P81992,Austrelaps superbus (Australian copperhead),29156,CRISP family,28,fragment,,,,,,
Q8UW11,Lapemis hardwickii (Hardwick's sea snake),8781,Contains 1 SXC (ShKT) domain,238,,,DISULFID:3,,,,
Q7ZZN8,Naja atra (Chinese cobra),8656,CRISP family,238,,,,,,,
Q8JI40,Agkistrodon halys blomhoffi (Mamushi) (Gloydius blomhoffii),242054,CRISP family,240,,,,,,,
Q7ZTA0,Agkistrodon piscivorus piscivorus (Eastern cottonmouth),8716,CRISP family,240,,,,,,,
P81990,Aspidelaps scutatus (Shield-nose snake),8607,CRISP family,30,fragment,,,,,,
P81993,Bungarus candidus (Malayan krait),92438,CRISP family,67,fragment,,,,,,
Q7ZT99,Crotalus atrox (Western diamondback rattlesnake),8730,CRISP family,240,,,,,,,
Q8JI38,Laticauda semifasciata (Broad-banded blue sea snake) (Erabu sea snake),8631,CRISP family,238,,,,,,,
Q7ZT98,Ophiophagus hannah (King cobra) (Naja hannah),8665,CRISP family,239,,,,,,,
Q8AVA4,Pseudechis australis (Mulga snake) (King brown snake),8670,CRISP family,238,,,,,,,
Q8AVA3,Pseudechis porphyriacus (Red-bellied black snake),8671,CRISP family,238,,,,,,,
Q8JGT9,Rhabdophis tigrinus tigrinus (Tiger keelback snake),193080,CRISP family,237,,,,,,,
Q8JI39,Trimeresurus flavoviridis (Habu) (Protobothrops flavoviridis),88087,CRISP family,240,,,,,,,
Q7ZZN9,Trimeresurus jerdonii (Jerdon's pit-viper) (Protobothrops jerdoni),135726,CRISP family,240,,,,,,,
P79845,Trimeresurus mucrosquamatus (Taiwan habu) (Protobothrops mucrosquamatus),103944,CRISP family,240,,,,,,,
P81995,Trimeresurus purpureomaculatus (Mangrove pit viper),101163,CRISP family,33,fragment,,,,,,
P60623,Trimeresurus stejnegeri (Chinese green tree viper),39682,CRISP family,233,fragment,,,,,,
Q6HAA2,Crotalus durissus terrificus (South American rattlesnake),8732,Snake toxin myotoxin family,63,,,DISULFID:3,,,,
Q9W6W6,Naja atra (Chinese cobra),8656,Snake toxin family,82,,,DISULFID:4,,,,
Q9GV72,Carybdea rastonii (Box jellyfish),78582,Jellyfish toxin family,450,,LD(50) is 20 ug/kg by intravenous injection into mice and 5 ug/kg by intraperitoneal injection into crayfish.,,Contains disulfide bonds.,,,
P60304,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P60305,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,60,,,DISULFID:4,,,,
O93471,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
Q9PST4,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
Q9PST3,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
O93472,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:3,This toxin lacks one of the four disulfide bonds found in similar cardiotoxins.,,,
P01442,Naja atra (Chinese cobra),8656,Snake toxin family,81,,LD(50) is 2.1 mg/kg by intravenous injection.,DISULFID:4,,,,
Q9DGH9,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,81,,,DISULFID:4,,,,
P60306,Naja atra (Chinese cobra),8656,Snake toxin family,60,,,DISULFID:4,,,,
P60301,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P60302,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
O93473,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
O73856,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
Q9W6W9,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P01443,Naja atra (Chinese cobra),8656,Snake toxin family,81,,LD(50) is 2.1 mg/kg by intravenous injection.,DISULFID:4,,,,
P60303,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,81,,LD(50) is 1.48 mg/kg by intraperitoneal injection.,DISULFID:4,,,,
O73857,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
P60310,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
Q9PS34,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,Snake toxin family,60,,,DISULFID:4,,,,
Q98965,Naja atra (Chinese cobra),8656,Snake toxin family,82,,,DISULFID:4,,,,
O73858,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,62,fragment,,DISULFID:4,,,,
O73859,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,62,fragment,,DISULFID:4,,,,
Q91124,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
Q9GNN8,Carybdea alata (Hawaiian box jellyfish),112899,Jellyfish toxin family,463,,LD(50) is 5-25 ug/kg by intraperitoneal injection into crayfish.,,Contains disulfide bonds.,,,
P58762,Chiropsalmus quadrigatus (Box jellyfish),130731,Jellyfish toxin family,462,,LD(50) is 80 ug/kg by intraperitoneal injection into crayfish.,,Contains disulfide bonds (By similarity).,,,
Q02454,Naja sputatrix (Malayan spitting cobra),33626,Snake toxin family,81,,,DISULFID:4,,,,
Q8T0W5,Pimpla hypochondriaca (Parasitoid wasp),135724,Contains 1 TIL (Trypsin inhibitory-like) domain,85,,,DISULFID:5,,,,
Q8T0W4,Pimpla hypochondriaca (Parasitoid wasp),135724,Contains 1 BPTI/Kunitz inhibitor domain,77,,,DISULFID:3,,,,
Q8T0W3,Pimpla hypochondriaca (Parasitoid wasp),135724,,63,,,DISULFID:3,,,,
Q8T0W2,Pimpla hypochondriaca (Parasitoid wasp),135724,Contains 3 pacifastin repeats,203,,,,,,,
Q8T0W1,Pimpla hypochondriaca (Parasitoid wasp),135724,,115,,,,,,,
Q8T0W0,Pimpla hypochondriaca (Parasitoid wasp),135724,Contains 1 TIL (Trypsin inhibitory-like) domain,77,,,DISULFID:5,,,,
Q8MMH0,Pimpla hypochondriaca (Parasitoid wasp),135724,,109,,,,,,,
P01453,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 4.14 mg/kg by intravenous injection.,DISULFID:4,,,,
P84197,Conus regius (Crown cone),101314,,44,,,,,,,
P62394,Naja haje haje (Egyptian cobra),8642,Snake toxin family,62,,LD(50) is 25.2 mg/kg by intravenous injection.,DISULFID:4,,,,
P62390,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,62,,LD(50) is 25.2 mg/kg by intravenous injection.,DISULFID:4,,,,
Q91136,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
Q91135,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P58623,Conus betulinus (Beech cone),89764,Conotoxin M-superfamily,14,,,DISULFID:3,,,,
Q98957,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P58624,Conus betulinus (Beech cone),89764,Conotoxin M-superfamily,15,,,DISULFID:3,,,,
Q98956,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P79810,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
Q98958,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P01471,Hemachatus haemachatus (Ringhals) (Sepedon haemachatus),8626,Snake toxin family,61,,,DISULFID:4,,,,
P01455,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 3 mg/kg by intravenous injection.,DISULFID:4,,,,
P01448,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake toxin family,60,,LD(50) is 1.37 mg/kg by intravenous injection.,DISULFID:4,,,,
P01467,Naja mossambica (Mozambique cobra),8644,Snake toxin family,60,,LD(50) is 0.83 mg/kg by intravenous injection.,DISULFID:4,,,,
P01447,Naja naja (Indian cobra),35670,Snake toxin family,60,,,DISULFID:4,,,,
P01456,Naja nivea (Cape cobra),8655,Snake toxin family,60,,LD(50) is 2.9 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P01451,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,Snake toxin family,60,,,DISULFID:4,,,,
P01468,Naja pallida (Red spitting cobra),8658,Snake toxin family,60,,,DISULFID:4,,,,
P83345,Naja sagittifera (Andaman cobra),195058,Snake toxin family,60,,,DISULFID:4,,,,
P58625,Conus betulinus (Beech cone),89764,,30,,,,Contains three disulfide bonds (Probable).,,,
Q9U619,Conus imperialis (Imperial cone),35631,Conotoxin A-superfamily,62,,,DISULFID:2; MOD_RES:1,,,,
P81727,Conus betulinus (Beech cone),89764,Conotoxin P-superfamily,27,,,DISULFID:3; MOD_RES:1,,,,
Q9U3Z3,Conus betulinus (Beech cone),89764,Conotoxin O-superfamily,70,,,MOD_RES:5,Contains four disulfide bonds.,,,
P24776,Hemachatus haemachatus (Ringhals) (Sepedon haemachatus),8626,Snake toxin family,61,,LD(50) is 3.8 mg/kg by intravenous injection.,DISULFID:4,,,,
P01462,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 1.98 mg/kg by intravenous injection.,DISULFID:4,,,,
P01445,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,60,,LD(50) is 1.2 mg/kg by intravenous injection.,DISULFID:4,,,,
P01474,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake toxin family,61,,LD(50) is 6.25 mg/kg by intravenous injection.,DISULFID:4,,,,
P01469,Naja mossambica (Mozambique cobra),8644,Snake toxin family,60,,LD(50) is 1.11 mg/kg by intravenous injection.,DISULFID:4,,,,
P01440,Naja naja (Indian cobra),35670,Snake toxin family,60,,,DISULFID:4,,,,
P01463,Naja nivea (Cape cobra),8655,Snake toxin family,60,,LD(50) is 1.5 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P01441,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,Snake toxin family,60,,,DISULFID:4,,,,
P58841,Conus quercinus (Oak cone),101313,Conotoxin M-superfamily,15,,,DISULFID:3; MOD_RES:2,,,,
Q98959,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P58842,Conus quercinus (Oak cone),101313,Conotoxin M-superfamily,15,,,DISULFID:3; MOD_RES:1,,,,
Q98960,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
Q98962,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P24777,Hemachatus haemachatus (Ringhals) (Sepedon haemachatus),8626,Snake toxin family,61,,LD(50) is 2.5 mg/kg by intravenous injection.,DISULFID:4,,,,
P01459,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 2.98 mg/kg by intravenous injection.,DISULFID:4,,,,
P01446,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,60,,"LD(50) of the glycosylated and non-glycosylated forms are 13.4 +/- 0.7 and 5.8 +/- 0.3 nmol/g by intra-abdominal injection into the cricket G.assimilis, respectively. LD(50) of the glycosylated and non-glycosylated forms are 15 +/- 1 and 0.16 +/- 0.01 uM for human HL-60 cells, respectively.",DISULFID:4; CARBOHYD:1,May be regulated by glycosylation.,GO:0009405 (pathogenesis); GO:0005576 (extracellular region),,
P01473,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake toxin family,61,,LD(50) is 12 mg/kg by intraperitoneal injection.,DISULFID:4,,,,
P01470,Naja mossambica (Mozambique cobra),8644,Snake toxin family,60,,LD(50) is 1.82 mg/kg by intravenous injection.,DISULFID:4,,,,
P24780,Naja naja (Indian cobra),35670,Snake toxin family,60,,LD(50) is 40 to 55 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P01458,Naja nivea (Cape cobra),8655,Snake toxin family,60,,LD(50) is 1.6 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P01461,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 4.0 mg/kg by intravenous injection.,DISULFID:4,,,,
P01452,Naja mossambica (Mozambique cobra),8644,Snake toxin family,60,,LD(50) is 1.97 mg/kg by intravenous injection.,DISULFID:4,,,,
Q9U6Z9,Conus gloriamaris (Glory of the sea),37336,Conotoxin T-superfamily,63,,,DISULFID:2,,,,
Q9U6Z5,Conus imperialis (Imperial cone),35631,Conotoxin T-superfamily,62,,,DISULFID:2; MOD_RES:1,,,,
Q9U700,Conus textile (Cloth-of-gold cone),6494,Conotoxin T-superfamily,62,,,DISULFID:2; MOD_RES:1,,,,
Q9U6Z8,Conus gloriamaris (Glory of the sea),37336,Conotoxin T-superfamily,62,,,DISULFID:2; MOD_RES:1,,,,
P58848,Conus aulicus (Court cone),89437,Conotoxin T-superfamily,11,,,DISULFID:2,,,,
Q9U6Z6,Conus purpurascens (Purple cone),41690,Conotoxin T-superfamily,63,,,DISULFID:2; MOD_RES:1,,,,
P60307,Naja atra (Chinese cobra),8656,Snake toxin family,60,,,DISULFID:4,,,,
P58849,Conus aulicus (Court cone),89437,Conotoxin T-superfamily,11,,,DISULFID:2,,,,
P60308,Naja atra (Chinese cobra),8656,Snake toxin family,60,,,DISULFID:4,,,,
P60309,Naja atra (Chinese cobra),8656,Snake toxin family,60,,,DISULFID:4,,,,
P07525,Naja atra (Chinese cobra),8656,Snake toxin family,60,,,DISULFID:4,,,,
Q98961,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P01464,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 1.82 mg/kg by intravenous injection.,DISULFID:4,,,,
P01457,Naja haje haje (Egyptian cobra),8642,Snake toxin family,60,,LD(50) is 2.6 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P24779,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,Snake toxin family,60,,,DISULFID:4,,,,
P25517,Naja mossambica (Mozambique cobra),8644,Snake toxin family,60,,LD(50) is 2.85 mg/kg by intravenous injection.,DISULFID:4,,,,
P58843,Conus quercinus (Oak cone),101313,Conotoxin O-superfamily,25,,,DISULFID:3; MOD_RES:1,,,,
P80245,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P01465,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 5.09 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P24160,Conus textile (Cloth-of-gold cone),6494,Conotoxin O-superfamily,27,,,MOD_RES:3,Contains three disulfide bonds.,,,
P58923,Conus tulipa (Fish-hunting cone snail) (Tulip cone),6495,Conotoxin O-superfamily,30,,,DISULFID:3; MOD_RES:2,"Three different forms of TVIIA exist. Pro-10 and Pro-11 of conotoxin TVIIA are hydroxylated in TVIIA, whereas Pro-10 is not hydroxylated in [Pro10]TVIIA, and neither Pro-10 nor Pro-11 are hydroxylated in [Pro10,11]TVIIA.",,,
Q91126,Naja atra (Chinese cobra),8656,Snake toxin family,83,,,DISULFID:4,,,,
Q91996,Naja atra (Chinese cobra),8656,Snake toxin family,83,,,DISULFID:4,,,,
P49122,Naja atra (Chinese cobra),8656,Snake toxin family,82,,,DISULFID:4,,,,
P01466,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 2.61 mg/kg by subcutaneous injection.,DISULFID:4,,,,
P49123,Naja atra (Chinese cobra),8656,Snake toxin family,81,,,DISULFID:4,,,,
P01460,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 2.6 mg/kg by intravenous injection.,DISULFID:4,,,,
Q9GU57,Conus gloriamaris (Glory of the sea),37336,Conotoxin P-superfamily,88,,,DISULFID:3; MOD_RES:1,,,,
Q9GU58,Conus textile (Cloth-of-gold cone),6494,Conotoxin P-superfamily,88,,,DISULFID:3; MOD_RES:3,,,,
P01454,Naja haje annulifera (Banded Egyptian cobra),8641,Snake toxin family,60,,LD(50) is 4.9 mg/kg by intravenous injection.,DISULFID:4,,,,
P56639,Conus aulicus (Court cone),89437,Conotoxin A-superfamily,16,,,DISULFID:2; MOD_RES:1,,,,
P56973,Conus consors (Singed cone),101297,Conotoxin A-superfamily,14,,,DISULFID:2; MOD_RES:1,,,,
P56638,Conus episcopatus (Bishop's cone),88764,Conotoxin A-superfamily,16,,,DISULFID:2; MOD_RES:2,,,,
P50982,Conus ermineus (Atlantic fish-hunting cone),55423,Conotoxin A-superfamily,18,,,DISULFID:2; MOD_RES:2,,,,
P50983,Conus imperialis (Imperial cone),35631,Conotoxin A-superfamily,17,fragment,,DISULFID:2; MOD_RES:1,,,,
P01521,Conus magus (Magus cone),6492,Conotoxin A-superfamily,14,,,DISULFID:2; MOD_RES:1,,,,
Q9XZK6,Conus textile (Cloth-of-gold cone),6494,Conotoxin A-superfamily,69,,,DISULFID:2; MOD_RES:1,,,,
P56640,Conus aulicus (Court cone),89437,Conotoxin A-superfamily,15,,,DISULFID:2; MOD_RES:1,,,,
P01520,Conus geographus (Geography cone),6491,Conotoxin A-superfamily,13,,,DISULFID:2; MOD_RES:1,,,,
Q8I6R5,Conus imperialis (Imperial cone),35631,Conotoxin A-superfamily,17,fragment,,DISULFID:2; MOD_RES:1,,,,
P56636,Conus magus (Magus cone),6492,Conotoxin A-superfamily,41,fragment,,DISULFID:2; MOD_RES:1,,,,
Q9XZK7,Conus textile (Cloth-of-gold cone),6494,Conotoxin A-superfamily,66,,,DISULFID:2,,,,
P01527,Cerebratulus lacteus (Milky ribbon worm),6221,,95,,,DISULFID:3,,,,
P56641,Conus aulicus (Court cone),89437,Conotoxin A-superfamily,16,,,DISULFID:2; MOD_RES:1,,,,
P55963,Conus purpurascens (Purple cone),41690,Alpha-A-conotoxin family,25,,,DISULFID:3; MOD_RES:4,,,,
P01519,Conus geographus (Geography cone),6491,Conotoxin A-superfamily,15,,,DISULFID:2; MOD_RES:2,,,,
P50984,Conus pennaceus (Feathered cone),37335,Conotoxin A-superfamily,16,,,DISULFID:2; MOD_RES:2,,,,
P50985,Conus pennaceus (Feathered cone),37335,Conotoxin A-superfamily,61,,,DISULFID:2; MOD_RES:2,,,,
Q86RB2,Conus geographus (Geography cone),6491,Conotoxin A-superfamily,40,fragment,,DISULFID:2; MOD_RES:1,,,,
P60274,Conus geographus (Geography cone),6491,Conotoxin A-superfamily,19,,,DISULFID:2; MOD_RES:2,,,,
