Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM
P01396,Dendroaspis polylepis polylepis (Black mamba),8620,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,LD(50) is 0.12 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5033401}.,
P01394,Dendroaspis viridis (Western green mamba),8621,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,LD(50) is 0.9 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4855008}.,Neurotoxin 4.7.3 differs from 4.9.3 only in that Trp-26 has undergone partial photooxidation.
Q8UW29,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
P01380,Hydrophis stokesii (Stokes's sea snake) (Astrotia stokesii),355677,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,70,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,
P0C8R6,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,69,,,
P01379,Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata),8631,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,87,,LD(50) is 1.24 mg/kg by intramuscular injection. {ECO:0000269|PubMed:4616684}.,
P01389,Naja anchietae (Anchieta's cobra) (Naja haje anchietae),263737,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,LD(50) is 0.067 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1183429}.,
P25674,Naja haje haje (Egyptian cobra),8642,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 0.11 mg/kg by intravenous injection. {ECO:0000269|PubMed:718974}.,
P01391,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,,"The disulfide bond Cys26-Cys30 is not necessary for toxin activity, since reduction and alkylation of this bond does not decrease the inhibitory activity against alpha-7 nAChR, but surprisingly enhances the inhibitory activity against alpha-3- beta-2. {ECO:0000269|PubMed:22223648}."
P01383,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 1.5 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4830190}.,
P25668,Naja naja (Indian cobra),35670,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 0.15 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5125232}.,
P01390,Naja nivea (Cape cobra) (Coluber niveus),8655,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 0.076 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:5167022}.,
P01382,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,73,,LD(50) is 0.56 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:4411932}.,
P01384,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,94,,LD(50) is 0.125 mg/kg by intravenous injection. {ECO:0000269|PubMed:497256}.,
P01387,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,73,,LD(50) is 0.3 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,
A8HDK7,Oxyuranus microlepidotus (Inland taipan),111177,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
A8HDK9,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
A8HDK6,Pseudonaja textilis (Eastern brown snake),8673,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,89,,,
A8HDK4,Tropidechis carinatus (Australian rough-scaled snake),100989,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,93,,,
F8J2F2,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,88,,,
P34074,Naja annulata annulata (Banded water cobra) (Boulengerina annulata annulata),8610,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 0.086 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,
Q2VBP5,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,93,,,
Q2VBP4,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,91,,,
B2BRQ6,Austrelaps labialis (Pygmy copperhead) (Denisonia superba),471292,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,107,,,
C5ILC5,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,93,,,
P0DKW9,Acanthophis antarcticus (Common death adder),8605,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,79,,LD(50) is between 0.05 and 0.20 mg/kg by intraperitoneal injection into mice. These data should be viewed cautiously since only a few mice have been injected due to the low amount of toxin available. {ECO:0000269|PubMed:9133710}.,
A8N285,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,93,,,
A8S6B0,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
A1IVR9,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,75,fragment,,
A6MFK5,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,88,,,
P01397,Dendroaspis polylepis polylepis (Black mamba),8620,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,,
P01395,Dendroaspis viridis (Western green mamba),8621,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,73,,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V. {ECO:0000269|PubMed:976267}.",
A3FM53,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,93,,,
P01381,Hydrophis stokesii (Stokes's sea snake) (Astrotia stokesii),355677,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,
P01388,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,,
P25669,Naja naja (Indian cobra),35670,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,,
P01386,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,73,,LD(50) is 0.35 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,
A8HDK8,Oxyuranus microlepidotus (Inland taipan),111177,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
F8J2E6,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,88,,,
Q53B55,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,94,,,
Q53B53,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,90,fragment,LD(50) is >300 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,
Q53B59,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,91,,LD(50) is 110 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,
Q2VBP3,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,94,,,
A1IVR7,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,75,fragment,,
P25667,Dendroaspis polylepis polylepis (Black mamba),8620,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,LD(50) is 0.4 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,
Q8UW28,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
P25671,Naja naja (Indian cobra),35670,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 0.10 to 0.15 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,
P07526,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,73,,,
F8J2D7,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,108,,,
F8J2E5,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
C0HJD7,Dendroaspis polylepis polylepis (Black mamba),8620,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,,"Amidation does not significantly affect toxin selectivity, since the activity profile and binding data are reminiscent of classical long-chain 3-finger toxins with a free carboxyl termini. {ECO:0000269|PubMed:24867092}."
P25672,Naja naja (Indian cobra),35670,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 0.22 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:7326259}.,
P80156,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,,
Q53B58,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,93,,LD(50) is 120 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,
Q53B57,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,91,,,
Q53B56,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,91,,,
P25673,Naja naja (Indian cobra),35670,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,,
P80965,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,72,,Lethal dose is 0.25 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:9163519}.,
P82662,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,91,,LD(50) is 100 ug/kg by intraperitoneal injection into mice.,
F8J2E1,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
F8J2E2,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
O42257,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,90,,LD(50) is 0.14 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:14572646}.,
P86522,Acanthophis antarcticus (Common death adder),8605,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,35,fragment,,
Q7T3J2,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,95,,LD(50) is 0.23 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:14505938}.,
D2N116,Bungarus caeruleus (Indian krait),132961,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,76,fragment,,
P0C8R7,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,
P0C8R8,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,
P13495,Pseudonaja textilis (Eastern brown snake),8673,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:3595609}.,
P34073,Acanthophis antarcticus (Common death adder),8605,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,74,,,
P14612,Pseudechis australis (Mulga snake) (King brown snake),8670,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,89,,,
Q7T2I3,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),8630,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,87,fragment,,
P0CJ35,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,28,fragment,LD(50) of the heterotrimer is 50-100 ug/kg to mice. {ECO:0000269|PubMed:1485334}.,
P85140,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,73,,LD(50) is 0.16 ug/g by intravenous injection into mice. {ECO:0000269|PubMed:19728988}.,
A7X4Q3,Oxyuranus microlepidotus (Inland taipan),111177,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
A7X4R0,Oxyuranus microlepidotus (Inland taipan),111177,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,92,,,
Q9W7J5,Pseudonaja textilis (Eastern brown snake),8673,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,103,,,
Q2VBP8,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,94,,LD(50) is 0.51 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:16689684}.,
Q2VBP6,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Long- chain subfamily. Type II alpha-neurotoxin sub-subfamily,94,,,
P15816,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
P15817,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
O12961,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
O12962,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
Q9W729,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
Q8AY56,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
Q8AY55,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
P01398,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,87,,,
P15815,Bungarus flaviceps flaviceps (Red-headed krait),8615,snake three-finger toxin family. Long- chain subfamily. Kappa-neurotoxin sub-subfamily,66,,,
A7X3S0,Trimorphodon biscutatus (Western lyre snake),338818,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,111,,,
A7X3S2,Trimorphodon biscutatus (Western lyre snake),338818,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,111,,,
A7X3V0,Telescopus dhara (Egyptian catsnake),338837,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,111,,,
P0C603,Boiga dendrophila (Mangrove snake) (Gold-ringed cat snake),46286,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,47,fragment,,
A0S864,Boiga irregularis (Brown tree snake),92519,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,109,,"LD(50) is 0.55 mg/kg by intraperitoneal injection into geckos, and 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.",
A0S865,Boiga irregularis (Brown tree snake),92519,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,111,,"LD(50) is 0.55 mg/kg by intraperitoneal injection into geckos, and 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.",
P83490,Coelognathus radiatus (Radiated ratsnake) (Elaphe radiata),201391,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,77,,,
Q06ZW0,Boiga dendrophila (Mangrove snake) (Gold-ringed cat snake),46286,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,111,,,
C0HJD3,Oxybelis fulgidus (Green vine snake) (Coluber fulgidus),121355,snake three-finger toxin family. Non- conventional subfamily. Boigatoxin sub-subfamily,74,,LD(50) is 0.28 ug/g by intraperitoneal injection in A.carolinensis and 0.6 ug/g in H.frenatus. {ECO:0000269|PubMed:23851011}.,Contains 5 disulfide bonds. {ECO:0000269|PubMed:23851011}.
Q8AY51,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
Q9YGI2,Naja atra (Chinese cobra),8656,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
C0HJW9,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,33,fragment,,
Q8AY50,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
C6JUP2,Micrurus corallinus (Brazilian coral snake),54390,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,88,,,
Q9YGI4,Naja atra (Chinese cobra),8656,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
Q8AY49,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
Q9YGI1,Naja atra (Chinese cobra),8656,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
Q6IZ95,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
Q2VBN2,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P29179,Naja naja (Indian cobra),35670,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,62,,,
O42255,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
C1IC49,Walterinnesia aegyptia (Desert black snake),64182,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,LD(50) is 0.2 mg/kg by intraperitoneal injection in mice. {ECO:0000269|PubMed:960110}.,
P29180,Naja naja (Indian cobra),35670,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,,
O42256,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P29181,Naja naja (Indian cobra),35670,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,,
A2CKF6,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),8613,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P29182,Naja naja (Indian cobra),35670,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,,
Q802B3,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P25679,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,64,,LD(50) is 82 mg/kg by intravenous injection. {ECO:0000269|PubMed:7380387}.,
Q9W7I3,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P25680,Naja nivea (Cape cobra) (Coluber niveus),8655,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,LD(50) is 16 mg/kg by intravenous injection. {ECO:0000269|PubMed:7380387}.,
Q802B2,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P01401,Naja haje haje (Egyptian cobra),8642,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,LD(50) is 13.4 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:710433}.,
P01400,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,LD(50) is >20 mg/kg by intravenous injection. {ECO:0000269|PubMed:1164509}.,
P01399,Naja annulifera (Banded Egyptian cobra) (Naja haje annulifera),96794,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,LD(50) is 4.82 mg/kg by intravenous injection. {ECO:0000269|PubMed:1213685}.,
O93422,Naja atra (Chinese cobra),8656,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P60814,Naja atra (Chinese cobra),8656,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
A2CKF7,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),8613,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P82935,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,86,,,
P85520,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,65,,,
Q53B61,Ophiophagus hannah (King cobra) (Naja hannah),8665,snake three-finger toxin family. Non- conventional subfamily. Orphan group II sub-subfamily,81,fragment,,
Q70WS8,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group IV sub-subfamily,84,,,
P58370,Micrurus corallinus (Brazilian coral snake),54390,snake three-finger toxin family. Non- conventional subfamily. Orphan group IV sub-subfamily,86,,,
P15818,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group IV sub-subfamily,87,,,
P81783,Bungarus candidus (Malayan krait),92438,snake three-finger toxin family. Non- conventional subfamily. Orphan group IV sub-subfamily,87,,,
Q9YGH9,Bungarus multicinctus (Many-banded krait),8616,snake three-finger toxin family. Non- conventional subfamily. Orphan group V sub-subfamily,89,,,
