Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM Summary,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
A8HDK7,Oxyuranus microlepidotus (Inland taipan),111177,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A8HDK9,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,Snake three-finger toxin family,92,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A8HDK6,Pseudonaja textilis (Eastern brown snake),8673,Snake three-finger toxin family,89,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A8HDK4,Tropidechis carinatus (Australian rough-scaled snake),100989,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
F8J2F2,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P34074,Naja annulata annulata (Banded water cobra) (Boulengerina annulata annulata),8610,Snake three-finger toxin family,71,,LD(50) is 0.086 mg/kg by intraperitoneal injection. {ECO:0000269|PubMed:1814007}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q2VBP5,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,93,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q2VBP4,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
B2BRQ6,Austrelaps labialis (Pygmy copperhead) (Denisonia superba),471292,Snake three-finger toxin family,107,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
C5ILC5,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P0DKW9,Acanthophis antarcticus (Common death adder),8605,Snake three-finger toxin family,79,,LD(50) is between 0.05 and 0.20 mg/kg by intraperitoneal injection into mice. These data should be viewed cautiously since only a few mice have been injected due to the low amount of toxin available. {ECO:0000269|PubMed:9133710}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
A8N285,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A8S6B0,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A1IVR9,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,75,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A6MFK5,Demansia vestigiata (Lesser black whip snake) (Demansia atra),412038,Snake three-finger toxin family,88,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01397,Dendroaspis polylepis polylepis (Black mamba),8620,Snake three-finger toxin family,72,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01395,Dendroaspis viridis (Western green mamba),8621,Snake three-finger toxin family,73,,"LD(50) is 0.045 mg/kg by subcutaneous injection for variant I, and 0.08 mg/kg for variant V. {ECO:0000269|PubMed:976267}.",DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
A3FM53,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,Snake three-finger toxin family,93,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P01381,Hydrophis stokesii (Stokes's sea snake) (Astrotia stokesii),355677,Snake three-finger toxin family,72,,LD(50) is 0.096 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:743209}.,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01388,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P25669,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P01386,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,73,,LD(50) is 0.35 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:4198767}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
A8HDK8,Oxyuranus microlepidotus (Inland taipan),111177,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
F8J2E6,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,88,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q53B55,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,94,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q53B53,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,90,fragment,LD(50) is >300 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q53B59,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,LD(50) is 110 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q2VBP3,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,94,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A1IVR7,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,75,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P25667,Dendroaspis polylepis polylepis (Black mamba),8620,Snake three-finger toxin family,72,,LD(50) is 0.4 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q8UW28,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P25671,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,LD(50) is 0.10 to 0.15 mg/kg by subcutaneous injection. {ECO:0000269|Ref.1}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P07526,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,73,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
F8J2D7,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,108,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
F8J2E5,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
C0HJD7,Dendroaspis polylepis polylepis (Black mamba),8620,Snake three-finger toxin family,72,,,DISULFID:5; MOD_RES:1,"Amidation does not significantly affect toxin selectivity, since the activity profile and binding data are reminiscent of classical long-chain 3-finger toxins with a free carboxyl termini. {ECO:0000269|PubMed:24867092}.",GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P25672,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,LD(50) is 0.22 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:7326259}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P80156,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,72,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q53B58,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,93,,LD(50) is 120 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15302536}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q53B57,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q53B56,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P25673,Naja naja (Indian cobra),35670,Snake three-finger toxin family,71,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P80965,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,72,,Lethal dose is 0.25 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:9163519}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P82662,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,91,,LD(50) is 100 ug/kg by intraperitoneal injection into mice.,DISULFID:5,,GO:0019835 (cytolysis); GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
F8J2E1,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
F8J2E2,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),66186,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
O42257,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,Snake three-finger toxin family,90,,LD(50) is 0.14 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:14572646}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P86522,Acanthophis antarcticus (Common death adder),8605,Snake three-finger toxin family,35,fragment,,DISULFID:3,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q7T3J2,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,95,,LD(50) is 0.23 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:14505938}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
D2N116,Bungarus caeruleus (Indian krait),132961,Snake three-finger toxin family,76,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P0C8R7,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P0C8R8,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,Snake three-finger toxin family,69,,LD(50) is 0.12 mg/kg by intramuscular injection into mice. {ECO:0000269|PubMed:7159381}.,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P13495,Pseudonaja textilis (Eastern brown snake),8673,Snake three-finger toxin family,71,,LD(50) is 0.015 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:3595609}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P34073,Acanthophis antarcticus (Common death adder),8605,Snake three-finger toxin family,74,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P14612,Pseudechis australis (Mulga snake) (King brown snake),8670,Snake three-finger toxin family,89,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q7T2I3,Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait),8630,Snake three-finger toxin family,87,fragment,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P0CJ35,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),8667,Snake three-finger toxin family,28,fragment,LD(50) of the heterotrimer is 50-100 ug/kg to mice. {ECO:0000269|PubMed:1485334}.,DISULFID:1,,GO:0005576 (extracellular region),,1: Evidence at protein level;
P85140,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,73,,LD(50) is 0.16 ug/g by intravenous injection into mice. {ECO:0000269|PubMed:19728988}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
A7X4Q3,Oxyuranus microlepidotus (Inland taipan),111177,Snake three-finger toxin family,92,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A7X4R0,Oxyuranus microlepidotus (Inland taipan),111177,Snake three-finger toxin family,92,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q9W7J5,Pseudonaja textilis (Eastern brown snake),8673,Snake three-finger toxin family,103,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q2VBP8,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,94,,LD(50) is 0.51 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:16689684}.,DISULFID:5,,GO:0019835 (cytolysis); GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q2VBP6,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,94,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P15816,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P15817,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
O12961,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
O12962,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q9W729,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q8AY56,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q8AY55,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P01398,Bungarus multicinctus (Many-banded krait),8616,Snake three-finger toxin family,87,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P15815,Bungarus flaviceps flaviceps (Red-headed krait),8615,Snake three-finger toxin family,66,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
A7X3S0,Trimorphodon biscutatus (Western lyre snake),338818,Snake three-finger toxin family,111,,,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A7X3S2,Trimorphodon biscutatus (Western lyre snake),338818,Snake three-finger toxin family,111,,,DISULFID:3; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
A7X3V0,Telescopus dhara (Egyptian catsnake),338837,Snake three-finger toxin family,111,,,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
P0C603,Boiga dendrophila (Mangrove snake) (Gold-ringed cat snake),46286,Snake three-finger toxin family,47,fragment,,DISULFID:2; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane); GO:0072556 (other organism presynaptic membrane),,1: Evidence at protein level;
A0S864,Boiga irregularis (Brown tree snake),92519,Snake three-finger toxin family,109,,"LD(50) is 0.55 mg/kg by intraperitoneal injection into geckos, and 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.",DISULFID:6; MOD_RES:1,,GO:2000272 (negative regulation of receptor activity); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level;
A0S865,Boiga irregularis (Brown tree snake),92519,Snake three-finger toxin family,111,,"LD(50) is 0.55 mg/kg by intraperitoneal injection into geckos, and 0.22 mg/kg by intraperitoneal injection into chicks. {ECO:0000269|PubMed:18952712}.",DISULFID:6; MOD_RES:1,,GO:2000272 (negative regulation of receptor activity); GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0035792 (other organism postsynaptic membrane); GO:0030550 (acetylcholine receptor inhibitor activity),GO:0030550 (acetylcholine receptor inhibitor activity),1: Evidence at protein level;
P83490,Coelognathus radiatus (Radiated ratsnake) (Elaphe radiata),201391,Snake three-finger toxin family,77,,,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q06ZW0,Boiga dendrophila (Mangrove snake) (Gold-ringed cat snake),46286,Snake three-finger toxin family,111,,,DISULFID:5; MOD_RES:1,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
C0HJD3,Oxybelis fulgidus (Green vine snake) (Coluber fulgidus),121355,Snake three-finger toxin family,74,,LD(50) is 0.28 ug/g by intraperitoneal injection in A.carolinensis and 0.6 ug/g in H.frenatus. {ECO:0000269|PubMed:23851011}.,DISULFID:5; MOD_RES:1,Contains 5 disulfide bonds. {ECO:0000269|PubMed:23851011}.,GO:0005576 (extracellular region),,1: Evidence at protein level;
Q8AY51,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q9YGI2,Naja atra (Chinese cobra),8656,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q8AY50,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
C6JUP2,Micrurus corallinus (Brazilian coral snake),54390,Snake three-finger toxin family,88,,,DISULFID:4,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q9YGI4,Naja atra (Chinese cobra),8656,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
Q8AY49,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q9YGI1,Naja atra (Chinese cobra),8656,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q6IZ95,Bungarus candidus (Malayan krait),92438,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
Q2VBN2,Ophiophagus hannah (King cobra) (Naja hannah),8665,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P29179,Naja naja (Indian cobra),35670,Snake three-finger toxin family,62,,,DISULFID:5,,GO:0005576 (extracellular region),,1: Evidence at protein level;
O42255,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,Snake three-finger toxin family,86,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,3: Inferred from homology;
C1IC49,Walterinnesia aegyptia (Desert black snake),64182,Snake three-finger toxin family,86,,LD(50) is 0.2 mg/kg by intraperitoneal injection in mice. {ECO:0000269|PubMed:960110}.,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
P29180,Naja naja (Indian cobra),35670,Snake three-finger toxin family,65,,,DISULFID:5,,GO:0035792 (other organism postsynaptic membrane),,1: Evidence at protein level;
